month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2024-09-01,66,966.529,581.3000000000002,66,Uncategorised (project doc silent),0.966529,0.5813000000000001
2025-06-01,81,335809.25,156967.5,81,Catch-all 'other' bucket (81),335.80925,156.9675
2024-05-01,81,165916.54999999993,254498.42500000013,81,Catch-all 'other' bucket (81),165.91654999999994,254.49842500000014
2025-03-01,33,0.0,65757.04099999998,33,RT general (33),0.0,65.75704099999999
2024-02-01,80,1490.9679999999998,5564.144,80,Uncategorised (project doc silent),1.4909679999999998,5.564144000000001
2024-11-01,69,5071.975000000001,27548.423999999988,69,Voltage control / black-start (69),5.071975000000001,27.548423999999986
2024-08-01,80,3138.551,3864.058,80,Uncategorised (project doc silent),3.138551,3.864058
2025-05-01,92,52708.934,5914.400000000001,92,mFRR activation (92),52.708934,5.9144000000000005
2025-05-01,19,910.225,0.0,19,Uncategorised (project doc silent),0.9102250000000001,0.0
2024-04-01,92,127901.35899999984,12739.299999999996,92,mFRR activation (92),127.90135899999984,12.739299999999997
2024-04-01,19,383.0,0.0,19,Uncategorised (project doc silent),0.383,0.0
2025-01-01,96,34556.9,26087.774999999998,96,Uncategorised (project doc silent),34.5569,26.087774999999997
2025-11-01,96,4295.125,6274.25,96,Uncategorised (project doc silent),4.295125,6.27425
2024-12-01,94,124292.20000000001,94394.9,94,System balancing / residual imbalance (94),124.29220000000001,94.39489999999999
2024-12-01,89,4717.2,0.0,89,Uncategorised (project doc silent),4.7172,0.0
2025-10-01,81,327398.5,213122.75,81,Catch-all 'other' bucket (81),327.3985,213.12275
2024-06-01,61,158080.3,272576.55,61,"RT system-security RZ, PO 3.2 (61)",158.0803,272.57655
2024-06-01,66,661.5830000000001,2357.6320000000005,66,Uncategorised (project doc silent),0.661583,2.3576320000000006
2025-08-01,33,0.0,165474.11400000015,33,RT general (33),0.0,165.47411400000016
2026-02-01,81,179820.75,575890.625,81,Catch-all 'other' bucket (81),179.82075,575.890625
2025-12-01,69,7186.834,40575.35700000015,69,Voltage control / black-start (69),7.186834,40.575357000000146
2025-04-01,96,26275.475000000002,42367.775,96,Uncategorised (project doc silent),26.275475000000004,42.367775
2025-04-01,65,24.0,0.0,65,Uncategorised (project doc silent),0.024,0.0
2024-09-01,65,57.0,0.0,65,Uncategorised (project doc silent),0.057,0.0
2025-03-01,80,6266.699999999997,10799.834999999997,80,Uncategorised (project doc silent),6.2666999999999975,10.799834999999998
2024-02-01,33,0.0,45804.743999999926,33,RT general (33),0.0,45.80474399999993
2025-09-01,94,169797.7,55755.424999999996,94,System balancing / residual imbalance (94),169.79770000000002,55.755424999999995
2024-08-01,33,0.0,87153.20999999948,33,RT general (33),0.0,87.15320999999948
2025-05-01,24,9.05,0.0,24,Uncategorised (project doc silent),0.00905,0.0
2025-01-01,61,212742.44999999995,332759.75,61,"RT system-security RZ, PO 3.2 (61)",212.74244999999996,332.75975
2025-01-01,66,5923.108000000009,6073.474999999999,66,Uncategorised (project doc silent),5.923108000000009,6.073474999999999
2025-11-01,61,272916.975,144194.22499999998,61,"RT system-security RZ, PO 3.2 (61)",272.916975,144.194225
2025-11-01,66,19158.141999999974,5717.307999999974,66,Uncategorised (project doc silent),19.158141999999973,5.717307999999973
2024-01-01,69,1547.4340000000002,22423.71000000002,69,Voltage control / black-start (69),1.5474340000000002,22.42371000000002
2025-08-01,80,12922.934,8273.133999999998,80,Uncategorised (project doc silent),12.922934,8.273133999999999
2024-10-01,66,1030.4170000000001,2534.010999999999,66,Uncategorised (project doc silent),1.0304170000000001,2.534010999999999
2024-10-01,61,169949.15000000002,344476.69999999995,61,"RT system-security RZ, PO 3.2 (61)",169.94915000000003,344.47669999999994
2025-02-01,94,50324.7,166593.2,94,System balancing / residual imbalance (94),50.3247,166.59320000000002
2024-07-01,68,30.0,327.15099999999995,68,Reserve management (68),0.03,0.32715099999999997
2025-04-01,61,84725.775,470764.10000000003,61,"RT system-security RZ, PO 3.2 (61)",84.725775,470.76410000000004
2025-04-01,66,5617.231999999998,4440.378,66,Uncategorised (project doc silent),5.617231999999998,4.440378
2024-03-01,61,166202.35000000003,361856.3500000001,61,"RT system-security RZ, PO 3.2 (61)",166.20235000000002,361.8563500000001
2024-03-01,66,1058.1,1343.5120000000004,66,Uncategorised (project doc silent),1.0580999999999998,1.3435120000000005
2025-07-01,61,173241.47499999998,238342.94999999995,61,"RT system-security RZ, PO 3.2 (61)",173.24147499999998,238.34294999999995
2025-07-01,66,1502.1750000000018,1950.0750000000035,66,Uncategorised (project doc silent),1.5021750000000018,1.9500750000000036
2024-09-01,68,0.0,758.1339999999999,68,Reserve management (68),0.0,0.7581339999999999
2025-06-01,80,9667.900000000001,5972.799999999999,80,Uncategorised (project doc silent),9.667900000000001,5.972799999999999
2024-05-01,80,3350.347,4628.097999999999,80,Uncategorised (project doc silent),3.350347,4.628097999999999
2024-02-01,81,123341.27500000002,276005.82500000024,81,Catch-all 'other' bucket (81),123.34127500000002,276.00582500000024
2024-11-01,92,31381.250000000015,43618.067000000025,92,mFRR activation (92),31.381250000000016,43.618067000000025
2024-11-01,19,190.00000000000006,0.0,19,Uncategorised (project doc silent),0.19000000000000006,0.0
2025-09-01,34,0.0,1095.2209999999993,34,RT inter-zonal / network (34),0.0,1.0952209999999993
2024-08-01,81,220049.67500000002,152498.75,81,Catch-all 'other' bucket (81),220.049675,152.49875
2025-05-01,69,7476.045999999999,27799.36,69,Voltage control / black-start (69),7.476045999999999,27.79936
2024-04-01,69,5771.340000000002,21137.244000000046,69,Voltage control / black-start (69),5.771340000000002,21.137244000000045
2024-01-01,24,377.4,0.0,24,Uncategorised (project doc silent),0.37739999999999996,0.0
2025-10-01,80,14256.252000000002,7318.021999999999,80,Uncategorised (project doc silent),14.256252000000002,7.318021999999999
2024-06-01,68,60.975,1503.2670000000007,68,Reserve management (68),0.060975,1.5032670000000008
2026-02-01,80,4338.165999999999,11214.314000000004,80,Uncategorised (project doc silent),4.338165999999999,11.214314000000003
2025-02-01,34,0.0,32.38800000000001,34,RT inter-zonal / network (34),0.0,0.032388000000000014
2025-12-01,92,43939.075000000026,49193.57499999997,92,mFRR activation (92),43.939075000000024,49.19357499999997
2024-09-01,34,0.0,69.92800000000001,34,RT inter-zonal / network (34),0.0,0.06992800000000002
2025-03-01,92,188362.275,16595.05,92,mFRR activation (92),188.36227499999998,16.59505
2025-03-01,19,729.6999999999999,0.0,19,Uncategorised (project doc silent),0.7296999999999999,0.0
2025-03-01,38,0.0,30.225,38,Uncategorised (project doc silent),0.0,0.030225000000000002
2024-02-01,24,57.0,0.0,24,Uncategorised (project doc silent),0.057,0.0
2025-09-01,68,96.375,415.3,68,Reserve management (68),0.096375,0.4153
2024-08-01,24,3256.567,0.0,24,Uncategorised (project doc silent),3.256567,0.0
2025-05-01,33,0.0,105868.09000000005,33,RT general (33),0.0,105.86809000000005
