unit_code,firm,pre_mwh,post_mwh,pre_active_obs,post_active_obs,post_share,mwh_drop_pct,exited,firm_group
UFTA,GN,6538.299999999998,2071.7,420.0,188.0,0.44761904761904764,68.31439364972546,False,GN
ZABU,,6568.099999999902,9768.399999999809,7492.0,10035.0,1.3394287239722371,-48.724897611180616,False,Fringe
EBRFEN,GE,2201152.300000001,4437742.100000004,5347.0,14325.0,2.679072377033851,-101.60995220548809,False,GE
ALIMA,,2935091.0,7161309.299999999,6868.0,11134.0,1.6211415259172977,-143.9893447937389,False,Fringe
UFBG,GN,20046.5,29033.5,364.0,480.0,1.3186813186813187,-44.83076846332278,False,GN
DUER,IB,1201001.8000000003,863103.0000000013,3067.0,5957.0,1.9422888816432997,28.134745509956684,False,IB
RTG01,,156638.69999999998,0.0,600.0,0.0,0.0,100.0,True,Fringe
TAJO,IB,1736860.6000000038,970062.7,3528.0,2301.0,0.6522108843537415,44.14849988536801,False,IB
BAHIAB,,426570.50000000006,1480.0,1031.0,4.0,0.0038797284190106693,99.6530468000014,True,Fringe
CTGN1,GN,92120.69999999997,415790.89999999973,369.0,1268.0,3.4363143631436315,-351.3544729903267,False,GN
ARCOS2,IB,209801.9999999997,454705.2999999996,691.0,1309.0,1.894356005788712,-116.73067940248436,False,IB
SRI3,HC,38099.2,3220.0,184.0,19.0,0.10326086956521739,91.54837896858726,False,HC
ACE4,GN,92825.40000000001,273814.9999999999,359.0,942.0,2.6239554317548746,-194.97852958349745,False,GN
PBCN1,GN,82336.79999999999,108229.09999999998,285.0,321.0,1.1263157894736842,-31.446813575460784,False,GN
SRI4R,HC,221286.6,85827.60000000011,701.0,311.0,0.44365192582025675,61.21428048512647,False,HC
ARCOS1,IB,168560.09999999998,188386.89999999994,599.0,597.0,0.996661101836394,-11.762451493562214,False,IB
BES5,GE,175778.4,182264.6,447.0,521.0,1.1655480984340045,-3.689986938099341,False,GE
CTGN3,GN,83187.20000000003,251896.99999999994,332.0,758.0,2.283132530120482,-202.8074030620094,False,GN
ESCCC2,,6419.4,0.0,55.0,0.0,0.0,100.0,True,Fringe
ESCCC1,,10811.8,27144.6,33.0,90.0,2.727272727272727,-151.06457759115042,False,Fringe
SRI5,HC,3380.0,0.0,26.0,0.0,0.0,100.0,True,HC
GNBRRS,,29995.99999999999,47297.2,8838.0,13532.0,1.5311156370219507,-57.67835711428195,False,Fringe
SBO3,GN,157692.90000000008,252498.20000000007,587.0,818.0,1.393526405451448,-60.120208328973554,False,GN
VIES,,1275780.0000000026,2043501.2000000244,10592.0,15459.0,1.4594977341389728,-60.176613522709275,False,Fringe
DOUSUP,,5346234.400000001,6558003.199999999,7245.0,10104.0,1.394616977225673,-22.665837472445983,False,Fringe
ECT3,,541362.1000000001,1351578.2000000002,1431.0,2015.0,1.4081062194269742,-149.66250869796758,False,Fringe
MOLIVIR,,1024.6999999999625,1243.6000000000088,10247.0,12436.0,1.213623499560847,-21.36234995609,False,Fringe
RESSECR,,2068.5999999999312,2487.2000000000176,10343.0,12436.0,1.202359083438074,-20.235908343812252,False,Fringe
TAMEGA,IB,2131303.100000002,3500575.400000003,9992.0,14895.0,1.4906925540432345,-64.24577996437954,False,IB
CAMGI10,GN,140575.19999999998,325475.3999999999,438.0,996.0,2.2739726027397262,-131.53116623700336,False,GN
CTJON1R,,469009.6000000003,438483.1000000002,1400.0,1200.0,0.8571428571428571,6.508715386636029,False,Fringe
WMGRDZR,,8217.50000000004,8151.699999999964,8797.0,8549.0,0.9718085711037854,0.8007301490730192,False,Fringe
CAMG20R,,105528.7,244747.20000000007,356.0,820.0,2.303370786516854,-131.924774966431,False,Fringe
ASIJUCA,,27465.399999999667,68304.19999999895,4033.0,15348.0,3.805603768906521,-148.6918086028231,False,Fringe
SRI5R,HC,114843.9,209986.79999999952,388.0,863.0,2.2242268041237114,-82.84541016109654,False,HC
MOREL1R,,1814.3999999999876,15855.799999999852,504.0,4406.0,8.742063492063492,-773.8866843033488,False,Fringe
MOREL2R,,2368.8000000000075,20700.799999999574,504.0,4407.0,8.744047619047619,-773.8939547449978,False,Fringe
ACC2EBR,GE,12134.90000000001,423144.60000000347,206.0,7603.0,36.907766990291265,-3387.0052493222283,False,GE
ABO1,,10317.8,0.0,63.0,0.0,0.0,100.0,True,Fringe
