market,reform,tech,firm,unit_code,outcome,theta,se,t,n
IDA,DA15,CCGT,GN,PBCN2,intercept,6.011890002077166,3.301738289238505,1.820825721309279,5045
IDA,DA15,CCGT,GE,PEGO3,intercept,37.92101858247753,32.5618454464602,1.164584441162254,2628
IDA,DA15,CCGT,GE,PEGO4,intercept,1.816881639034591,20.722791383977285,0.08767552620538327,4777
IDA,DA15,CCGT,GE,PGR5,intercept,338.09981379234034,421.9892126805186,0.8012048735670179,4242
IDA,DA15,CCGT,GN,SAGU1,intercept,7.247609772814428,4.575485462955621,1.584008916975708,5781
IDA,DA15,CCGT,GN,SAGU2,intercept,4.304429294716442,3.371810860939193,1.2765927485972555,11040
IDA,DA15,CCGT,GN,SAGU3,intercept,-1.8220869944130982,2.1537990179474935,-0.8459874757253316,7805
IDA,DA15,CCGT,GN,SBO3,intercept,4.595773484687584,1.4303959249493696,3.212938043605134,9054
IDA,DA15,CCGT,HC,SRI4R,intercept,-0.1265422882777898,4.826371949500442,-0.026218925851930593,5150
IDA,DA15,CCGT,HC,SRI5R,intercept,8.877113885402935,3.4547449800026637,2.5695424515519782,9830
IDA,DA15,CCGT,GN,SROQ1,intercept,10.309120394199226,5.573351200027497,1.8497166290450822,790
IDA,DA15,CCGT,GE,SROQ2,intercept,-26.534944535054343,21.309324422283865,-1.2452269255099366,5345
IDA,DA15,CCGT,IB,STC4,intercept,4.079854110947053,3.258535559670214,1.2520514311526993,1916
IDA,DA15,CCGT,IB,ACE3,gamma,0.004284594439664474,0.002691064961236084,1.5921557083841023,512
IDA,DA15,CCGT,GN,ACE4,gamma,0.004265088254873345,0.010484802886602649,0.40678764312519616,19539
IDA,DA15,CCGT,IB,ARCOS1,gamma,-0.0002852993203724674,0.0008949476453364797,-0.318788838497029,4157
IDA,DA15,CCGT,IB,ARCOS2,gamma,0.0014870589836244452,0.0009775807166887813,1.5211623533873975,3952
IDA,DA15,CCGT,GN,BES4,gamma,0.007682108308168314,0.008643835098382745,0.8887384153829624,13784
IDA,DA15,CCGT,GN,CAMGI10,gamma,0.011612906785565567,0.007914813220347454,1.4672369975467052,13273
IDA,DA15,CCGT,GN,CTGN1,gamma,0.013765051604759396,0.003990754203670973,3.449235633729921,14455
IDA,DA15,CCGT,GN,CTGN3,gamma,-0.029145403449852773,0.034078131745718575,-0.8552523849408051,10611
IDA,DA15,CCGT,IB,CTN3,gamma,-0.0003774421989046206,0.0008058325474125518,-0.4683878804803181,550
IDA,DA15,CCGT,IB,ESC6,gamma,0.018273037627705768,0.02250806729178863,0.8118439220399931,1664
IDA,DA15,CCGT,HC,LARES2,gamma,-0.00480850993959854,0.006948894874024954,-0.6919819664523641,414
IDA,DA15,CCGT,GN,MALA1,gamma,0.004994982596000906,0.002397774939791606,2.083174076560758,5487
IDA,DA15,CCGT,GN,PALOS1,gamma,0.027146906743565905,0.01250871021808594,2.170240278195515,7351
IDA,DA15,CCGT,GN,PALOS2,gamma,0.034741160782078895,0.02547059168002404,1.3639714859598464,15950
IDA,DA15,CCGT,GN,PALOS3,gamma,0.0071387195745229864,0.004733173711670888,1.5082310537051684,4444
IDA,DA15,CCGT,GN,PBCN1,gamma,-0.07756972220773406,0.059649486051211835,-1.3004256590096497,2923
IDA,DA15,CCGT,GN,PBCN2,gamma,-0.04410432830721919,0.045337364859913874,-0.9728030829205757,4960
IDA,DA15,CCGT,GE,PEGO4,gamma,0.05598048919660316,0.06358855272358967,0.8803548248682798,952
IDA,DA15,CCGT,GN,SAGU1,gamma,-0.008628978168134533,0.019192393325406877,-0.44960407083318255,5655
IDA,DA15,CCGT,GN,SAGU2,gamma,0.04620585874264162,0.042796196883181224,1.0796720762073224,10900
IDA,DA15,CCGT,GN,SAGU3,gamma,-0.0037420743516161023,0.0029642649126039554,-1.2623953870333677,7700
IDA,DA15,CCGT,GN,SBO3,gamma,0.01977018555778759,0.020140048685296157,0.9816354402470439,8954
IDA,DA15,CCGT,HC,SRI4R,gamma,0.0054512938314517445,0.007908460057385434,0.6892990281162225,4834
IDA,DA15,CCGT,HC,SRI5R,gamma,0.004607826581710875,0.003674908745517035,1.2538614971955133,9231
IDA,DA15,CCGT,GN,SROQ1,gamma,-0.004936708300852001,0.005577500219179793,-0.8851112697182422,788
IDA,DA15,CCGT,IB,STC4,gamma,0.003655050694625593,0.003535105882192949,1.0339296237311677,1763
IDA,DA15,Hydro,HC,ACAVADO,slope,0.034624091561462844,0.014139074670143428,2.448823021960292,21541
IDA,DA15,Hydro,HC,ADOURO,slope,0.004800235815276999,0.027474768846576198,0.17471432943011586,11053
IDA,DA15,Hydro,HC,ALIMA,slope,0.015231326326967443,0.007848354162300748,1.9407032368812436,18871
IDA,DA15,Hydro,HC,DOUSUP,slope,0.19632387052617206,0.1378056994216445,1.4246426044069436,12851
IDA,DA15,Hydro,IB,DUER,slope,0.025055549673921318,0.01335909942987508,1.8755418211716695,14008
IDA,DA15,Hydro,GE,EBRFEN,slope,-1.7566353894143951,1.10736688625638,-1.5863174266958306,452
IDA,DA15,Hydro,GE,GDLQ,slope,-2.245341404800536,1.7603419311000885,-1.2755143561213458,507
IDA,DA15,Hydro,HC,GUADIA,slope,0.017327577993950016,0.007866486175151177,2.2027087581599947,11611
IDA,DA15,Hydro,HC,HCHI,slope,-1.0268859800912011,1.0316194475639124,-0.9954116147345913,2531
IDA,DA15,Hydro,HC,MONDEGO,slope,0.09111953501928594,0.051075805165267746,1.784005846299384,8019
IDA,DA15,Hydro,GE,SBEU,slope,-1.3421861599942186,1.3266948693409075,-1.0116766040265213,1551
IDA,DA15,Hydro,IB,SIL,slope,-0.4531188937236563,0.46631387672417457,-0.971703644992913,14718
