"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"PLB_DA15","p","ccgt","ida","midday",1.94988016816737,-4.20919194390675,7.26011237281063,0.0203263855522789,0.270666666666667,131,37
"PLB_DA15","p","ccgt","ida","flat",0.719657704703963,-3.63983906016863,6.40479253317841,0.00736455839052158,0.415935178933153,131,37
"PLB_DA15","p","hydro","da","critical",-9.45228884085495,-23.911485674373,5.23466530994754,-0.0896066503268797,0.0962754743499649,156,40
"PLB_DA15","p","hydro","da","midday",-13.2888392091163,-26.7733688749078,0.322747437648609,-0.125001556572245,0.0274068868587491,156,40
"PLB_DA15","p","hydro","da","flat",-11.1207110812246,-24.7199507241034,2.69829167071579,-0.108111887965524,0.0633001422475107,156,40
"PLB_DA15","p","hydro","ida","critical",-15.322609415657,-26.2010103386278,-2.59147503473301,-0.110162061690007,0.00947867298578199,131,37
"PLB_DA15","p","hydro","ida","midday",-19.9882097039751,-27.4874257203586,-11.9603754099512,-0.14625488293948,0.00068073519400953,131,37
"PLB_DA15","p","hydro","ida","flat",-26.0547227305524,-36.8665440096661,-13.7340333661101,-0.178525355080523,0.000674308833445718,131,37
"PLB_DA15","p","hydro_pump","da","critical",-1.44286625587831,-19.9297420300513,18.8820445210931,-0.0045482500960831,0.433734939759036,156,40
"PLB_DA15","p","hydro_pump","da","midday",-6.74520656608159,-25.2391928121435,11.5631075508252,-0.0567939630121802,0.217105263157895,156,40
"PLB_DA15","p","hydro_pump","da","flat",-8.00982520609867,-26.1128880493783,10.2712280626885,-0.0716573940415949,0.185970636215334,156,40
"PLB_DA15","p","hydro_pump","ida","critical",-17.6009598855994,-29.2441026450565,-6.83225250884806,-0.130230251636556,0.00203389830508475,131,37
"PLB_DA15","p","hydro_pump","ida","midday",-17.4400018664044,-32.7395841083095,-3.93568125396408,-0.124944032269795,0.0114093959731544,122,36
"PLB_DA15","p","hydro_pump","ida","flat",-15.2724908401295,-28.443781041864,-2.15232078305541,-0.116318503761106,0.0107310529845741,131,37
"PLB_DA15","q","ccgt","da","critical",-5123.18319857094,-18616.0214209657,9961.70190766311,-0.0360406500096848,0.237254901960784,156,40
"PLB_DA15","q","ccgt","da","midday",-5948.84886161373,-10533.4419950047,-2473.19116977536,-0.154353692453683,0.000673400673400673,156,40
"PLB_DA15","q","ccgt","da","flat",-9521.02151277822,-12219.2302151312,-6723.90921853442,-0.419336392696699,0.000688231245698555,156,40
"PLB_DA15","q","ccgt","ida","critical",18725.6544780726,11692.1918171645,25377.2042852789,1.95715522808363,0.000767459708365311,131,37
"PLB_DA15","q","ccgt","ida","midday",3781.39965142298,-183.213224957939,7533.40504466269,0.910084613069639,0.0426966292134831,131,37
"PLB_DA15","q","ccgt","ida","flat",6933.52447180872,5264.720298038,8617.41447286689,2.11156901708812,0.000667556742323097,131,37
