reform,market,tech,outcome,comparison,theta,se,t,n,n_units
ID15,da,Cogen,gamma,morning_vs_flat,-0.1073933386745765,0.015280999237709283,-7.027900270393275,1633,5
ID15,da,Cogen,hhi,crit_vs_flat,0.0008539537510343644,0.0009455864063082056,0.9030943606395561,135511,250
ID15,da,Cogen,hhi,morning_vs_flat,-7.18482887800235e-05,0.0008947623215633336,-0.0802987419658997,65800,240
ID15,da,Coal,sigma_p,crit_vs_flat,-0.6017919009385977,0.5404464975246474,-1.113508744519438,2767,1
ID15,da,Coal,sigma_p,morning_vs_flat,-0.20636651458899077,0.5579560040385705,-0.36986162546021284,941,1
ID15,da,Coal,beta,crit_vs_flat,0.05061057576504385,0.011294324825057999,4.481062529099339,1969,1
ID15,da,Coal,beta,morning_vs_flat,0.06636014637352819,0.02820112254113475,2.353103011298004,701,1
ID15,da,Coal,hhi,crit_vs_flat,-0.05836020974029948,0.07399587757619142,-0.7886954199604925,2767,1
ID15,da,Coal,hhi,morning_vs_flat,-0.0051516741789626,0.0784519255330195,-0.06566663780348286,941,1
ID15,da,Hybrid,sigma_p,crit_vs_flat,-0.20479542900509462,0.07557196268056038,-2.7099392650519953,4206,8
ID15,da,Hybrid,sigma_p,morning_vs_flat,-0.06605222164031106,0.03349821973116121,-1.9718128954437237,1910,7
ID15,da,Hybrid,beta,crit_vs_flat,-1.2981068367781883,1.24169237431374,-1.0454335257520024,227,3
ID15,da,Hybrid,hhi,crit_vs_flat,0.00873303319815024,0.004864337940239794,1.7953179457181658,4206,8
ID15,da,Hybrid,hhi,morning_vs_flat,0.008039582777730947,0.004608302877479806,1.7445864543798484,1910,7
ID15,da,Biomass,sigma_p,crit_vs_flat,-0.22513707314770032,0.08250632534039548,-2.728725006462894,47243,74
ID15,da,Biomass,sigma_p,morning_vs_flat,-0.0649541753998722,0.06670536181633178,-0.9737474414533369,23083,74
ID15,da,Biomass,beta,crit_vs_flat,-4.059593574817635,1.3481859694416773,-3.0111525166656565,7157,13
ID15,da,Biomass,beta,morning_vs_flat,0.02979486424805755,1.0384773565706775,0.028690913730124983,3575,13
ID15,da,Biomass,gamma,crit_vs_flat,0.3480263095765658,0.19948396442901417,1.744633011343676,5178,10
