spec,market,tech,outcome,regime,beta_crit,se_crit,t_crit,star_crit,beta_mid,se_mid,t_mid,star_mid,block_beta,block_se,n_curves
v2_block,IDA,CCGT,n_eff,ISP15_win,-2.49507055688176,0.2058463458198409,-12.121034002058382,***,-1.7130068653944135,0.2510282679975633,-6.823960022745492,***,-1.680520664198589,0.2451404403249023,24965
v2_block,IDA,CCGT,n_eff,ID15_pre,-2.1546647642592167,0.2743808953819691,-7.852823576727822,***,-0.727545295263242,0.26671377284380204,-2.727812994079315,***,-1.680520664198589,0.2451404403249023,45014
v2_block,IDA,CCGT,n_eff,ID15_post,-0.7865333194508408,0.1460653703810882,-5.384803512281904,***,0.8827922985209242,0.21330771120058037,4.138585958998947,***,-1.680520664198589,0.2451404403249023,301513
v2_block,IDA,CCGT,n_eff,DA15_ID15,-2.4484781647797833,0.166558183668756,-14.700437473845266,***,-1.0773472102658999,0.22146724069603185,-4.864589484566614,***,-1.680520664198589,0.2451404403249023,248159
v2_base,DA,Hydro,sigma_p,pre_IDA,0.2628145913284117,0.06942811711026219,3.7854201189270764,***,-0.7870229702449176,0.07892154367344506,-9.97221967047927,***,,,451309
v2_base,DA,Hydro,sigma_p,3sess,-0.02707801367246354,0.12740727442254218,-0.21253114310145407,,-0.8657793301877685,0.1536878572239848,-5.633361970334333,***,,,124880
v2_base,DA,Hydro,sigma_p,ISP15_win,-0.8746391848849533,0.2480228053679824,-3.5264466248871065,***,-1.0744064232571966,0.2091435423932389,-5.137172350447525,***,,,78699
v2_base,DA,Hydro,sigma_p,ID15_pre,0.06946207603109611,0.16877370395478972,0.41156930495347355,,-1.2499620614581057,0.2517524020848984,-4.965045223427824,***,,,30128
v2_base,DA,Hydro,sigma_p,ID15_post,-0.15981777212344894,0.12456972372594351,-1.2829583894321868,,-2.1417537512954508,0.16466160307482422,-13.007001701071816,***,,,111636
v2_base,DA,Hydro,sigma_p,DA15_ID15,0.7595217700426327,0.14347566141115634,5.293732487951953,***,-0.6449460273268608,0.17631745757961878,-3.6578682348321965,***,,,400417
v2_base,DA,Hydro,n_eff,pre_IDA,-0.028495392512463136,0.005620391539146379,-5.07000131823396,***,-0.054849409163509166,0.007281505401031756,-7.532701844283086,***,,,451309
v2_base,DA,Hydro,n_eff,3sess,0.010619266194093924,0.011613594096773492,0.9143824130244216,,-0.015855613104031996,0.016511430936246935,-0.9602809814154116,,,,124880
v2_base,DA,Hydro,n_eff,ISP15_win,0.07468234344502295,0.014728441694361456,5.070620843317991,***,0.016763936831338047,0.020016483050746638,0.8375066083705816,,,,78699
v2_base,DA,Hydro,n_eff,ID15_pre,-0.013600955084533517,0.014132982676246365,-0.9623556043405446,,0.00468832691039095,0.019781947841291184,0.23700026650585582,,,,30128
v2_base,DA,Hydro,n_eff,ID15_post,-0.0013163408097678353,0.01081560324303218,-0.12170757193926024,,-0.08301360302572802,0.01815830272401779,-4.571660924890674,***,,,111636
v2_base,DA,Hydro,n_eff,DA15_ID15,-0.02278593344088886,0.013237265955225723,-1.721347407989002,*,-0.045992979414745505,0.017274243658450466,-2.662517695369313,***,,,400417
v2_base,IDA,Hydro,sigma_p,pre_IDA,1.1438495514744522,0.09327014476530775,12.263833773954989,***,-0.7696586355780104,0.09583720457364786,-8.030896132686676,***,,,891116
v2_base,IDA,Hydro,sigma_p,3sess,-0.5140258707342289,0.23302261989044118,-2.2059054652115115,**,-1.391571522458264,0.27341402425501427,-5.089612817959697,***,,,71743
v2_base,IDA,Hydro,sigma_p,ISP15_win,-1.02465400518936,0.3145657637517664,-3.2573602192702262,***,-0.44345920704762154,0.27360905830680715,-1.6207767746868806,,,,48399
