"reform","side","outcome","tech","market","hour_class","eff","lo","hi","p","n_pre","n_post"
"DA15","placebo","p","hydro","ida","midday",-2.3733360905608,-17.9900366165173,14.0895156512399,0.38302752293578,131,37
"DA15","placebo","p","hydro","ida","evening_ramp",-25.5103612530996,-36.0001909670643,-11.0277411785057,0.000672947510094213,131,37
"DA15","placebo","p","hydro","ida","flat",-33.7093365259494,-46.7794581145149,-14.7332997916555,0.000667556742323097,131,37
"DA15","placebo","p","hydro_pump","da","morning_ramp",-25.3186898413111,-36.0236553874444,-14.1107768006044,0.000707714083510262,156,40
"DA15","placebo","p","hydro_pump","da","midday",-27.09670431661,-45.2440817879645,-9.89462548887748,0.00135593220338983,115,35
"DA15","placebo","p","hydro_pump","da","evening_ramp",-0.722171696553275,-18.6775610417578,18.1139626168442,0.455734406438632,156,40
"DA15","placebo","p","hydro_pump","da","flat",-26.8864855692385,-38.6334067882475,-14.4638192303759,0.000707714083510262,156,40
"DA15","placebo","p","hydro_pump","ida","morning_ramp",-26.1814787531923,-40.4102160436457,-6.15843816000046,0.00602006688963211,131,36
"DA15","placebo","p","hydro_pump","ida","midday",-36.1951862247581,-55.4361306443427,-17.3317340569075,0.00135777325186694,68,25
"DA15","placebo","p","hydro_pump","ida","evening_ramp",-23.4204167569505,-34.2739916631732,-13.185037646032,0.000672043010752688,131,37
"DA15","placebo","p","hydro_pump","ida","flat",-33.2831050589518,-46.2983065950398,-19.1977737048381,0.000670690811535882,128,32
"DA15","placebo","mwh","ccgt","da","morning_ramp",-7516.20959739969,-9633.11538227354,-5304.200155325,0.000670690811535882,156,40
"DA15","placebo","mwh","ccgt","da","midday",-1792.57530576786,-4058.29966804974,386.899357328876,0.057371581054036,156,40
"DA15","placebo","mwh","ccgt","da","evening_ramp",2746.84956079195,77.9643395655495,5312.72957064782,0.0241773002014775,156,40
"DA15","placebo","mwh","ccgt","da","flat",-5012.00144889589,-6595.16033010549,-3506.86935591865,0.000670690811535882,155,40
"DA15","placebo","mwh","ccgt","ida","morning_ramp",5169.94384439372,2911.83039069838,7437.057666071,0.00091324200913242,131,37
"DA15","placebo","mwh","ccgt","ida","midday",1093.21292188676,-622.767048583906,2256.70537803633,0.0737265415549598,126,36
"DA15","placebo","mwh","ccgt","ida","evening_ramp",1944.5825074333,-1359.88046424907,5168.51872878072,0.155436957971981,131,37
"DA15","placebo","mwh","ccgt","ida","flat",1313.54577985488,-239.542777622026,3145.2160653175,0.0580688723835246,131,37
"DA15","placebo","mwh","hydro","da","morning_ramp",-326.416254128239,-2631.27945341487,2892.35107038115,0.380336351875809,156,40
"DA15","placebo","mwh","hydro","da","midday",3616.89974396002,611.656751388646,6669.44884450844,0.0069204152249135,156,40
"DA15","placebo","mwh","hydro","da","evening_ramp",4388.31335154858,-494.04657154269,7892.00108542735,0.0407023144453312,156,40
"DA15","placebo","mwh","hydro","da","flat",-164.492294870108,-2443.3985853179,1866.13275234602,0.436915887850467,156,40
"DA15","placebo","mwh","hydro","ida","morning_ramp",10418.3742197003,6231.15184158357,14430.302094678,0.00279329608938547,131,37
"DA15","placebo","mwh","hydro","ida","midday",10640.5423772915,2351.8562438134,16593.7895379822,0.0112107623318386,131,37
"DA15","placebo","mwh","hydro","ida","evening_ramp",13108.0297360343,111.850185847688,24939.3590142912,0.0246831220813876,131,37
"DA15","placebo","mwh","hydro","ida","flat",3882.96787377372,906.524664582269,6663.07410114551,0.00441988950276243,131,37
"DA15","placebo","mwh","hydro_pump","da","morning_ramp",101.381897201274,-907.145699950182,1080.08239717775,0.414666666666667,156,40
"DA15","placebo","mwh","hydro_pump","da","midday",-212.142174459226,-1160.94347215827,973.636383359729,0.311111111111111,115,35
"DA15","placebo","mwh","hydro_pump","da","evening_ramp",1094.47566367293,-831.918084327463,2782.71596239251,0.116310160427807,156,40
"DA15","placebo","mwh","hydro_pump","da","flat",9.7920138370132,-607.941565858741,627.757839302203,0.481456507080243,156,40
