agent_code,description,agent_type
VANGE,HIDROELECTRICA VILLA DE LOS ANGELES,GENERACIÓN RECORE
VAQ,ELÉCTRICA VAQUER ENERGÍA,COMERCIALIZADOR
VARAE,VARAENER,COMERCIALIZADOR
VDLUZ,AYR INTERXAT IBERICA SL,COMERCIALIZADOR
VDM,PARQUE EÓLICO DE VIRXE DO MONTE,GENERACIÓN RECORE
VDMIN,VALDEMINGOMEZ 2000,GENERACIÓN RECORE
VECIA,"PARC EOLIC VECIANA-CABARO, S.L.",GENERACIÓN RECORE
VECTO,VECTOR ENERGIA SL,COMERCIALIZADOR
VEGVE,"VALORIZACION ENERGETICA DE GAS DE VERTEDERO,SL",GENERACIÓN
VELTA,VELETA ENERGÍA SL,COMERCIALIZADOR
VENT,"ECOVENT PARC EOLIC, S.A.",GENERACIÓN RECORE
VEOLI,"VEOLIA PROPRETE, S.A.",GENERACIÓN RECORE
VESTA,"VESTAS EOLICA, S.A.U.",GENERACIÓN RECORE
VICAL,ESTACION DE SERVICIO VICALVARO S.A.U,CONSUMIDOR DIRECTO
VIEE,REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS SLU,COMERCIALIZADOR
VIEG,"REPSOL GENERACIÓN ELÉCTRICA, S.A",GENERACIÓN
VIEPR,GENERACIONES ELECTRICAS ANDALUCIA S.L.,GENERACIÓN
VIKIN,"VIKING ENERGÍA, S.L.",COMERCIALIZADOR
VILDA,PARC EOLIC VILALBA DELS ARCS S.L.U.,GENERACIÓN RECORE
VIMCO,VIMCOMEL,COMERCIALIZADOR
VINAL,"ELECTRICA DE VINALESA, S.C.V.",COMERCIALIZADOR
VINAO,VIÑAOLIVA S.COOP.,CONSUMIDOR DIRECTO
VINI,COMPLEJOS DE VINILO S.A,CONSUMIDOR DIRECTO
VIRAN,VIRANDEL S.L,GENERACIÓN RECORE
VIRGE,AREA DE SERVICIO VIRGEN DE LA PEÑA S.L,CONSUMIDOR DIRECTO
VIRGI,VIRGIN ELECTRIC,COMERCIALIZADOR
VIROQ,"VIROQUE ENERGY, S.L.",COMERCIALIZADOR
VIRTM,SOCIEDAD ARAGONESA DE COMERCIALIZACIÓN DE ENERGÍA,COMERCIALIZADOR
VISAL,VISALIA ENERGIA SLU,COMERCIALIZADOR
VITEC,VITA ENERGY CONSULTING SL,REPRESENTANTE
VIVA,VIVA ENERGIA Y SOLUCIONES S.L.,COMERCIALIZADOR
VIVO,VIVO ENERGIA FUTURA S.A.,COMERCIALIZADOR
VOLTN,VOLTON - ENERGIA E SOLUCOES LDA,COMERCIALIZADOR
VOLTR,"DESIMPACTE DE PURINS VOLTREGA, S.A.",GENERACIÓN RECORE
VPFIL,"VALLES PLASTIC FILM, S.L.",CONSUMIDOR DIRECTO
WAGEN,ARAGON WAGEN SL,CONSUMIDOR DIRECTO
WARTS,WARTSILA IBERICA S.A.,GENERACIÓN RECORE
WATIO,"QUIERO LUZ, SL",COMERCIALIZADOR
WEKIW,WEKIWI SL,COMERCIALIZADOR
WIGEP,"WIGEP ANDALUCIA, S.A.",GENERACIÓN RECORE
WINDP,ACCIONA WINDPOWER S.A.,GENERACIÓN RECORE
WMARK,"WIND TO MARKET, S.A.",COMERCIALIZADOR
XUNQ,"CERÁMICA XUNQUEIRA, S.A.",CONSUMIDOR DIRECTO
YELLO,"THE YELLOW ENERGY, S.L.",COMERCIALIZADOR
ZABAL,"ZABALGARBI, S.A.",GENERACIÓN RECORE
ZELTR,ZELTRIA ENERGIA,COMERCIALIZADOR
ZENON,"ZENON ENERGIA, S.L.",COMERCIALIZADOR
ZERE,ZEREP CARBONICAS Y AGUAS S.A,CONSUMIDOR DIRECTO
ZEREN,DOMESTICA GAS Y ELECTRICIDAD SL,COMERCIALIZADOR
ZETAE,"ZETA ENERXIA GALEGA, S.L.",COMERCIALIZADOR
ZRMTT,COMERCIALIZADORA ELECTRICA COMUNIDAD SOLAR,COMERCIALIZADOR
ZUGCR,"ZUG POWER, S.L. - SUCURSAL EM PORTUGAL",COMERCIALIZADOR
ZUGPW,ZUG POWER SL,COMERCIALIZADOR
ZULU,DINERGETICA 2050 SLU,COMERCIALIZADOR
