unit_code,description,owner_agent,ownership_pct,unit_type,zone,technology
GNVD238,UOF GNVD238,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica Renovable
GNVD239,UOF GNVD239,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD240,UOF GNVD240,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD241,UOF GNVD241,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD242,UOF GNVD242,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD243,UOF GNVD243,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD244,UOF GNVD244,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD245,UOF GNVD245,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD246,UOF GNVD246,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD247,UOF GNVD247,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD248,UOF GNVD248,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD249,UOF GNVD249,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD250,UOF GNVD250,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD251,UOF GNVD251,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD252,UOF GNVD252,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD253,UOF GNVD253,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD254,UOF GNVD254,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD255,UOF GNVD255,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD256,UOF GNVD256,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD257,UOF GNVD257,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD258,UOF GNVD258,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD259,UOF GNVD259,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD260,UOF GNVD260,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD261,UOF GNVD261,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD262,UOF GNVD262,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD263,UOF GNVD263,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD264,UOF GNVD264,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GNVD265,UOF GNVD265,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD266,UOF GNVD266,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD267,UOF GNVD267,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD268,UOF GNVD268,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD269,UOF GNVD269,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD270,UOF GNVD270,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD271,UOF GNVD271,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD272,UOF GNVD272,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD273,UOF GNVD273,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD274,UOF GNVD274,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD275,UOF GNVD275,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GNVD276,UOF GNVD276,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GNVD277,UOF GNVD277,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD278,UOF GNVD278,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica no Renovab.
GNVD279,UOF GNVD279,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD280,UOF GNVD280,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD281,UOF GNVD281,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD282,UOF GNVD282,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD283,UOF GNVD283,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD284,UOF GNVD284,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD285,UOF GNVD285,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD286,UOF GNVD286,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD287,UOF GNVD287,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD288,UOF GNVD288,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD289,UOF GNVD289,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD290,UOF GNVD290,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD291,UOF GNVD291,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD292,UOF GNVD292,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD293,UOF GNVD293,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD294,UOF GNVD294,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD295,UOF GNVD295,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD296,UOF GNVD296,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD297,UOF GNVD297,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD298,UOF GNVD298,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica Marina
GNVD299,UOF GNVD299,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD300,UOF GNVD300,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD301,UOF GNVD301,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD302,GNVD302,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GNVD303,UOF GNVD303,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD304,UOF GNVD304,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD305,UOF GNVD305,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD306,UOF GNVD306,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD307,UOF GNVD307,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD308,UOF GNVD308,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD310,UOF GNVD310,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GNVD311,UOF GNVD311,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD312,UOF GNVD312,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD313,UOF GNVD313,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD314,UOF GNVD314,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD315,UOF GNVD315,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD316,UOF GNVD316,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD317,UOF GNVD317,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD318,UOF GNVD318,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD319,UOF GNVD319,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD320,UOF  GNVD320,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD321,UOF GNVD321,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD325,UOF GNVD325,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD326,UOF GNVD326,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD327, GNVD327,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD328,UOF GNVD328,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD329,UOF GNVD329,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GNVD330,UOF GNVD330,GNERA ENERGIA Y TECNOLOGIA,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GOIEVD1,VENTA PRODUCCION BIOGAS,GOIENER S.COOP,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Térmica Renovable
GOIEVD2,VENTA PRODUCCION FOTOVOLTAICA,GOIENER S.COOP,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GOIEVD3,VENTA PRODUCCÍON HIDRAULICA,GOIENER S.COOP,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GOIRE01,VENTA H.OLATE,GOIENER S.COOP,100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GOLDV02,CARTEIRA DE VENDA (UPAC),"GOLDENERGY COMERCIALIZADORA ENERGIA, S.A.",100.0,GENERACION,ZONA PORTUGUESA,RE Tarifa CUR (uof)
GRENV02,VENDA ENERGIA PT,GREEN VENTURE TRADING LDA,100.0,GENERACION,ZONA PORTUGUESA,RE Tarifa CUR (uof)
GSEVD01,INSTALACIONES SOLAR TARIFA,"AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSLRE04,GSLRE04,"GASILUZ ECO ENERCÍA, S.L.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSLRE06,JEREZ 2020,"GASILUZ ECO ENERCÍA, S.L.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSLRE07,ALCONCHEL 2020.2,"GASILUZ ECO ENERCÍA, S.L.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSLRE08,ALCONCHEL 2020,"GASILUZ ECO ENERCÍA, S.L.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSLRE09,ALCONCHEL 2021,"GASILUZ ECO ENERCÍA, S.L.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD102,GUILLENA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD103,VILLANUEVA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD104,TALYELA2,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD105,BARGSNO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD106,BRGSSU,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD109,GAMONAL,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD110,FALCONRA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD111,TARACENAN,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD112,TARACENAS,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD116,POLEO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD117,PANADERAS,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD121,TERM_AFRIC,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD122,TERM_LLANO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD123,TERM_BRGES,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD127,CARAVACA_1,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD128,CASILLA DE JUAN GIL,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD129,SAN-FERNANDO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD131,ENERLAN,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD132,SAX,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD133,VIÑASGOMEZ,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD135,TORRECILLA1,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD136,TORRECILLA2,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD137,CALAMOCHAI,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD138,CALAMOCHAII,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD139,ESCUCHAI,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD140,ESCUCHAII,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD141,HIJARI,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD142,PEÑAFLORII,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD143,TAMBORESI,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD144,MOMPLANETE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD145,ELRANCHO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD146,EL BARROSO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD147,VALCAIRE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD148,TERMOSOLAR1,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD149,TERMOSOLAR2,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD150,GALA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD151,AUREA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD152,GAETANA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD153,SAPRELORCA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD154,CAMPO SAN PEDRO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD155,TWINHOUSE PLANT 1,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD156,TWINHOUSE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD157,LA CISTERNIGA I,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD158,FV NIEVA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD159,TORREIGLESIAS,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD160,FV IM2 SANTO DOMINGO DE OLIVEN,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD161,FV IM2 PUEBLA DE SANCHO PEREZ,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD162,IM2 ALCONERA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD167,FV RETORNO SOLAR,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD168,FV TALAYUELA III,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD169,VIVALES 6,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD170,ENERLASTRAS,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD171,POWER CHOICE TORRALBA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD174,PARQUE EOLICO LAS TADEAS,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD175,LA HERRADA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Eólica
GSVD176,FV OLMEDILLA HIVE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD177,FV SABINAR HIVE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD178,OMEDILLA 2,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD179,PFV PRADILLO,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD180,PFV PRADILLO 2,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD181,PFV PRADILLO 4,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD183,PSF IM2 GIBRALEON,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD184,FV IM2 PUEBLA DE LA REINA,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD185,FV IM2 ZENETE,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD186,CF EL BARCIAL,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD187,FV VERSIÓN,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD188,SOLUZ GUZMAN,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Térmica
GSVD189,GSVD189,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD193,GSVD193,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD194,GSVD194,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD196,GSVD196,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD197,GSVD197,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD199,GSVD199,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD200,GSVD200,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD201,GSVD201,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD203,GSVD203,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD204,GSVD204,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD205,GSVD205,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD206,GSVD206,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD208,GSVD208,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD209,GSVD209,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Hidráulica
GSVD210,GSVD210,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD211,GSVD211,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
GSVD212,GSVD212,"GESTERNOVA, S.A.",100.0,GENERACION,ZONA ESPAÑOLA,RE Mercado Solar Fotovoltáica
