tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Hydro_pump,DA15/ID15,Midday,88.15073404696625,0.5516943309645925,0.03646164853247743,0.3080777070714631,3,3764,IDA
Hydro_pump,DA60/ID15 post-blk,Critical,105.09990979765078,1.287254411858865,0.2895315787302784,3.156414406758093,5,26284,IDA
Hydro_pump,DA60/ID15 post-blk,Dropped,120.20451032097739,1.3103293957109727,0.2419179779007042,3.081050443431452,5,12231,IDA
Hydro_pump,DA60/ID15 post-blk,Flat,173.77708089255978,1.7068884153739574,0.29899840581960746,5.416294827672549,5,7273,IDA
Hydro_pump,DA60/ID15 post-blk,Midday,22.38613248221575,0.18237197778299902,0.028162036474613007,0.0,5,5279,IDA
Hydro_pump,DA60/ID15 pre-blk,Critical,98.66536523155511,1.3965957783797798,0.37574450209378896,2.7306261273044083,2,6485,IDA
Hydro_pump,DA60/ID15 pre-blk,Dropped,114.63409125086125,1.3798177727333805,0.31710860733654866,5.693139060503226,2,3084,IDA
Hydro_pump,DA60/ID15 pre-blk,Flat,140.65667668406573,1.4854633647950548,0.3815840771017901,7.475591541876923,2,2004,IDA
Hydro_pump,DA60/ID15 pre-blk,Midday,112.49077965043695,1.1443757802746566,0.10951310861423222,0.0,2,1167,IDA
Hydro_pump,ISP15-win,Critical,137.07562237483566,1.5129455471069695,0.3320401065755212,4.966220917210005,4,4731,IDA
Hydro_pump,ISP15-win,Dropped,169.84408902357762,1.4356428263186998,0.2574944896527907,2.805389125358873,4,2438,IDA
Hydro_pump,ISP15-win,Flat,177.76862056012544,1.315018199261262,0.23503529843920412,0.6707050562468653,4,972,IDA
Hydro_pump,ISP15-win,Midday,127.30729747589272,0.9330019891665124,0.14723711167705072,1.227203866140597,4,1636,IDA
Nuclear,3-sess,Critical,78.31389494120185,0.8083326131420505,0.7782574251721258,12.134600125523676,6,460,IDA
Nuclear,3-sess,Dropped,82.25774635017619,0.8557881571214239,0.8235922828202864,10.014245014245013,6,264,IDA
Nuclear,3-sess,Flat,71.12464070711897,0.8089464882943144,0.8089464882943144,4.605217391304349,5,118,IDA
Nuclear,3-sess,Midday,97.83275978659373,0.9182060629429051,0.8347602689707952,10.940914786967419,6,285,IDA
Nuclear,DA15/ID15,Critical,27.200987641368013,0.9803794555733472,0.9803794555733472,2.0829893756118287,3,3956,IDA
Nuclear,DA15/ID15,Dropped,43.036387145751284,0.9828771650109699,0.9828771650109699,1.4309122003733832,3,1491,IDA
Nuclear,DA15/ID15,Flat,164.13204638498755,0.9943977591036415,0.9943977591036415,0.0,3,289,IDA
Nuclear,DA15/ID15,Midday,19.624481317613125,0.9902413744641979,0.9902413744641979,0.5385034515527805,3,1847,IDA
Nuclear,DA60/ID15 post-blk,Critical,43.71694757094347,0.9222047820272093,0.8931040675112515,4.374344007566277,5,7054,IDA
Nuclear,DA60/ID15 post-blk,Dropped,51.67675381067854,0.9523241931521195,0.928301057438798,2.3081015973179984,5,3399,IDA
Nuclear,DA60/ID15 post-blk,Flat,62.15128432397872,0.9615240939854793,0.9438918953128184,1.5762258958844764,5,1278,IDA
Nuclear,DA60/ID15 post-blk,Midday,43.16210990668039,0.9617891091313018,0.9358910306016444,2.575766418248027,5,3089,IDA
Nuclear,DA60/ID15 pre-blk,Critical,199.1937233463125,0.9347216427942335,0.8762110044963611,3.686240902980578,2,2046,IDA
Nuclear,DA60/ID15 pre-blk,Dropped,239.77709657890364,0.9826274304978515,0.9107096222786734,7.824174995845303,2,1307,IDA
Nuclear,DA60/ID15 pre-blk,Flat,411.7172244094488,1.0135243511227763,0.9190361621463984,15.05546806649169,2,597,IDA
Nuclear,DA60/ID15 pre-blk,Midday,252.53991594035276,1.0804263565891472,0.9583333333333333,4.652384099577292,2,1079,IDA
Nuclear,ISP15-win,Critical,79.93209406713504,0.8540202966432474,0.8540202966432474,0.045081967213114756,4,116,IDA
Nuclear,ISP15-win,Dropped,100.03961718020541,0.9093137254901961,0.9093137254901961,0.0,4,97,IDA
Nuclear,ISP15-win,Flat,134.18449960127592,0.881578947368421,0.881578947368421,0.0,4,56,IDA
Nuclear,ISP15-win,Midday,60.73354371921182,1.0089285714285714,0.9955357142857143,21.22176724137931,4,91,IDA
Other,3-sess,Critical,4.134995255785485,0.6358424791374546,0.3805693369694032,0.13935357288980102,6,281324,IDA
Other,3-sess,Dropped,4.99620605276207,0.6669009284370478,0.41384582221469457,0.23919269514629446,6,140592,IDA
Other,3-sess,Flat,4.475619879629305,0.5582760146721818,0.37231680059499883,0.11217024690479747,6,48110,IDA
Other,3-sess,Midday,5.991885333127587,0.8243632505091157,0.5018716664264279,0.2823542163750641,6,137237,IDA
Other,DA15/ID15,Critical,3.2397961721481146,1.253009166607536,0.23937160270330085,0.05593593205514349,3,684907,IDA
Other,DA15/ID15,Dropped,3.6615173516242567,1.2782111142864157,0.2749239782546861,0.07037247102088234,3,369867,IDA
Other,DA15/ID15,Flat,3.5747554343456844,1.3458809747668619,0.23984464642732237,0.043198187572018355,3,133036,IDA
Other,DA15/ID15,Midday,4.632664006396549,1.2546597679443128,0.3458129506314138,0.11219999465268445,3,357599,IDA
Other,DA60/ID15 post-blk,Critical,3.7492993329466193,0.949528930399223,0.34818699398841746,0.09925939429617464,5,1324486,IDA
Other,DA60/ID15 post-blk,Dropped,4.624550399787973,1.026799732131413,0.3809330432881464,0.14132875579936902,5,608050,IDA
Other,DA60/ID15 post-blk,Flat,2.789185918944731,0.8335446355276911,0.29872040184649185,0.05396197305311441,5,187604,IDA
Other,DA60/ID15 post-blk,Midday,6.89269123562562,1.2298256982345792,0.46811977964287027,0.2874638344389412,5,596854,IDA
Other,DA60/ID15 pre-blk,Critical,5.463829274966342,0.9664404267574012,0.5189849568891587,0.2990978742325804,2,308954,IDA
Other,DA60/ID15 pre-blk,Dropped,7.814318166610283,1.0381021270516135,0.6017959643338504,0.5112380655536819,2,145931,IDA
Other,DA60/ID15 pre-blk,Flat,5.155124552119426,0.8826449181583043,0.5935789347809419,0.20463550576020317,2,43336,IDA
Other,DA60/ID15 pre-blk,Midday,12.385643207585439,1.1455248787275019,0.7098929353303262,0.7580773909450602,2,148004,IDA
Other,ISP15-win,Critical,3.2920156012770576,0.5872728424208958,0.32663557801389503,0.10712168616631972,4,201250,IDA
