tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
Nuclear,DA60/ID15 post-blk,Dropped,0.9403126252954588,51.67675381067854,63.760318563028555,5,94.0
Nuclear,DA60/ID15 post-blk,Flat,0.9527079946491488,62.15128432397872,79.09897139509329,5,95.3
Nuclear,DA60/ID15 post-blk,Midday,0.948840069866473,43.16210990668039,52.20700522976508,5,94.9
Nuclear,DA60/ID15 pre-blk,Critical,0.895714550595652,199.1937233463125,227.79007381912578,2,89.6
Nuclear,DA60/ID15 pre-blk,Dropped,0.9346822250183994,239.77709657890364,260.3434546900596,2,93.5
Nuclear,DA60/ID15 pre-blk,Flat,0.9505322251385244,411.7172244094488,425.66894502770486,2,95.1
Nuclear,DA60/ID15 pre-blk,Midday,0.999031007751938,252.53991594035276,252.84708648298843,2,99.9
Nuclear,ISP15-win,Critical,0.8540202966432474,79.93209406713504,81.17604410616705,4,85.4
Nuclear,ISP15-win,Dropped,0.9093137254901961,100.03961718020541,100.62556489262371,4,90.9
Nuclear,ISP15-win,Flat,0.881578947368421,134.18449960127592,134.9871311802233,4,88.2
Nuclear,ISP15-win,Midday,1.0,60.73354371921182,60.73354371921182,4,100.0
Other,3-sess,Critical,0.45297456965931454,4.134995255785485,6.203305343974923,6,45.3
Other,3-sess,Dropped,0.4853535886451285,4.99620605276207,7.336953604488468,6,48.5
