unit_code,tech_group,firm_class,n_obs,vol_sd_mw,mean_mw,vol_cv_pct,pre_avg_mwh,post_avg_mwh,n_pre,n_post,jump_gwh
EBRERZ,Hydro,GE,930,0.0004656050557980853,1.3075806451612897,0.062080674106411375,-1.2688263138573217e-16,-0.05937500000000075,112,112,-5.937500000000062e-05
BES3,CCGT,GE,253,1.3023661775609945,153.0461462450593,0.7954882173684801,2586.5535911602215,3559.1119354838706,181,155,0.9725583443236492
ACAVADO,Hydro,Fringe,428,11.742792876802184,151.46623831775702,8.768344481250747,250.83442622950815,70.85461065573772,244,244,-0.17997981557377046
IPG,Hydro_pump,GE,191,0.5490954105138336,54.472905759162295,1.4753308005461512,-277.00814479638007,-165.1640277777778,221,180,0.11184411701860228
ASIJUCA,Hydro,Fringe,938,0.002319035176572244,1.1419509594882729,0.23035942507728344,-144.72747252747246,-66.01178278688525,91,244,0.07871568974058721
ESCCC2,CCGT,Fringe,127,0.0,155.0,0.0,655.3094594594595,1726.7533333333333,74,15,1.0714438738738739
CAMGI10,CCGT,GN,186,1.065283114917352,152.07405913978485,1.2639760675609446,1051.1624000000002,2946.003229665074,125,209,1.8948408296650736
UFGC,Hydro,GN,959,0.2397099010501547,172.40346715328465,0.12644722152982202,30.677459016393385,-11.354405737704647,244,244,-0.04203186475409803
ASITAJ,Hydro,Fringe,937,0.004863616564632132,3.5894076840981812,0.14256218331352666,-90.19886363636364,-32.38135245901636,176,244,0.05781751117734728
UPPTCHA,Hydro,Fringe,953,0.0,0.1000000000000003,0.0,0.17899159663865558,-0.03273809523809538,119,42,-0.00021172969187675095
ULEA,Hydro,Fringe,498,0.0,0.22570281124497998,0.0,-17.077500000000004,-0.6101063829787257,240,188,0.016467393617021278
ACC2EBR,Hydro,GE,957,0.24926663094291285,109.76640543364677,0.2929584278194376,-74.1918032786886,-48.144421487602926,244,242,0.02604738179108567
ACC1EBR,Hydro,GE,959,0.4200915536221626,170.34585505735134,0.33119098957054594,-236.90040983606545,-862.1465163934429,244,244,-0.6252461065573774
WMJUCA,Hydro,Fringe,874,0.0,0.20961098398169375,0.0,-51.739655172413784,-47.79013157894735,174,114,0.0039495235934664304
ASIAGU,Hydro,Fringe,519,0.0007365743897389028,1.0283236994219656,0.04428304098251718,-75.74090909090908,0.9933333333333331,176,15,0.07673424242424243
SROQ2,CCGT,GE,331,3.634876918703853,133.43149546827797,2.110473696088543,2180.0321266968326,2746.727837837838,221,185,0.5666957111410051
UFTA,Hydro,GN,959,0.07781976237740938,142.18407194994782,0.0526427964636361,30.236475409836054,13.509528688524494,244,244,-0.01672694672131156
ALIMA,Hydro,Fringe,419,30.201099889238982,651.1600238663483,6.007028861247786,-336.2539419087137,-1341.627459016393,241,244,-1.0053735171076792
CTGN3,CCGT,GN,942,5.49712613031266,181.28651804670915,2.3358594604485914,2022.3464114832536,3154.282159624413,209,213,1.1319357481411594
GUADIA,Hydro,Fringe,608,8.209378620507902,164.44403782894747,6.383911667526777,-298.20082304526755,-127.20762711864403,243,236,0.17099319592662351
TEMON,Hydro,Fringe,916,5.399347114769071,491.7538755458516,1.1430035980953692,97.21270491803284,-152.55327868852441,244,244,-0.24976598360655725
PALOS1,CCGT,GN,94,3.121444261325457,179.18085106382978,1.4761453389098347,1067.6383720930235,3093.458163265306,172,147,2.0258197911722826
BES4,CCGT,GN,482,2.5108051797566806,167.14061203319503,2.008100867739043,1733.952866242038,3099.69393939394,157,231,1.3657410731519022
ASIEBR2,Hydro,Fringe,898,0.00038575741816678784,0.9834075723830741,0.04239092507327339,-19.397945205479466,-0.12981557377049302,146,244,0.019268129631708972
SAGU2,CCGT,GN,339,3.6315521504681567,166.5519911504425,2.4899227120051526,2040.550867052023,2741.9725490196074,173,204,0.7014216819675844
WMTRC2R,Hydro,Fringe,84,0.0,0.8583333333333333,0.0,-1.4999999999999998,-0.7955555555555531,22,45,0.0007044444444444467
