firm,tech,hour_class,regime,gwh,gwh_sa
GN,Wind,Flat,MTU15IDA_pre,0.006677205882352941,
GN,Wind,Flat,preIDA,0.020322443890274315,
GN,Wind,Midday,3sess,0.019489285714285712,
GN,Wind,Midday,DA15_ID15,0.02049774774774775,
GN,Wind,Midday,ISP15win,0.017963440860215056,
GN,Wind,Midday,MTU15IDA_post,0.020849475524475525,
GN,Wind,Midday,MTU15IDA_pre,0.024342142857142854,
GN,Wind,Midday,preIDA,0.01988918575063613,
HC,CCGT,Critical,3sess,0.14789764705882352,0.14818729859883562
HC,CCGT,Critical,DA15_ID15,0.16825753424657533,0.20135600873571952
HC,CCGT,Critical,ISP15win,0.2078220338983051,0.20139335205730985
HC,CCGT,Critical,MTU15IDA_post,0.1418140740740741,0.13063887272359012
HC,CCGT,Critical,MTU15IDA_pre,0.09653706896551727,0.12548269554288494
HC,CCGT,Critical,preIDA,0.120375,
HC,CCGT,Flat,3sess,0.08435357142857143,
HC,CCGT,Flat,DA15_ID15,0.1460375,
HC,CCGT,Flat,ISP15win,0.24868823529411768,
HC,CCGT,Flat,MTU15IDA_post,0.10269402173913046,
HC,CCGT,Flat,MTU15IDA_pre,0.047328571428571435,
HC,CCGT,Flat,preIDA,0.08293448275862068,
HC,CCGT,Midday,3sess,0.10122857142857143,
HC,CCGT,Midday,DA15_ID15,0.10884444444444448,
HC,CCGT,Midday,ISP15win,0.18735,
HC,CCGT,Midday,MTU15IDA_post,0.03414411764705884,
HC,CCGT,Midday,MTU15IDA_pre,0.016475,
HC,CCGT,Midday,preIDA,0.06899,
HC,Hydro,Critical,3sess,0.32953092105263154,0.4027206194396829
HC,Hydro,Critical,DA15_ID15,0.2722858333333334,0.21231982653204295
HC,Hydro,Critical,ISP15win,0.46277204301075275,0.3550050827562111
HC,Hydro,Critical,MTU15IDA_post,0.1969621428571429,0.2245980728035997
HC,Hydro,Critical,MTU15IDA_pre,0.12705972222222223,0.09849309980602607
HC,Hydro,Critical,preIDA,0.24875924308588065,
HC,Hydro,Flat,3sess,0.11720694444444445,0.1832839137571483
HC,Hydro,Flat,DA15_ID15,0.15286544117647055,0.12388794555587204
HC,Hydro,Flat,ISP15win,0.2223447368421053,0.1845983726600135
