tech,q1_gwh,qfinal_gwh,ym
Direct_consumer,0.0,-6.796399999999998,2024-12-01
Generic,0.0,-6.956300000000032,2024-12-01
Hybrid_RES,30.43209999999999,37.29460000000003,2024-12-01
Hybrid_RES_storage,5.403800000000001,23.447100000000006,2024-12-01
Hydro,1016.0361000000046,2724.9321000000023,2024-12-01
Hydro_RES,2.3364,62.48009999999995,2024-12-01
Hydro_pump,195.40690000000026,221.82890000000035,2024-12-01
Nuclear,1253.4624999999994,4241.61319999999,2024-12-01
Other,0.0,30.332800000000006,2024-12-01
Pump_load,0.0,-787.3493999999997,2024-12-01
Retailer,0.0,-14374.974399999996,2024-12-01
Solar PV,56.50110000000015,280.8490999999997,2024-12-01
Wind,731.9222000000004,1419.5622999999991,2024-12-01
CCGT,416.3920999999999,1704.0031999999999,2025-01-01
Coal,55.48160000000001,42.371300000000005,2025-01-01
Cogen,40.496200000000066,121.81530000000002,2025-01-01
Direct_consumer,0.0,-6.647600000000002,2025-01-01
Generic,0.0,4.350999999999934,2025-01-01
Hybrid_RES,50.733700000000006,53.48920000000002,2025-01-01
Hybrid_RES_storage,14.7844,25.871800000000007,2025-01-01
Hydro,452.79990000000043,3853.5830000000037,2025-01-01
Hydro_RES,2.5897000000000006,66.61699999999993,2025-01-01
Hydro_pump,217.54600000000022,292.9007,2025-01-01
Nuclear,2217.5236999999947,5217.158699999991,2025-01-01
Other,0.0,27.822500000000005,2025-01-01
Pump_load,0.0,-869.6020999999997,2025-01-01
Retailer,0.0,-15296.209000000006,2025-01-01
Solar PV,75.37439999999997,265.2722999999996,2025-01-01
Wind,1353.4783999999995,2279.530800000002,2025-01-01
CCGT,246.1703,1259.250100000001,2025-02-01
Coal,14.4903,20.621,2025-02-01
Cogen,75.04889999999999,110.43430000000014,2025-02-01
Direct_consumer,0.0,-7.926799999999999,2025-02-01
Generic,0.0,-8.533199999999963,2025-02-01
Hybrid_RES,31.095200000000027,30.053700000000003,2025-02-01
Hybrid_RES_storage,18.351100000000006,23.52960000000001,2025-02-01
Hydro,896.3431000000043,5352.744799999995,2025-02-01
Hydro_RES,8.43170000000001,71.10529999999979,2025-02-01
Hydro_pump,256.6312,273.18369999999993,2025-02-01
Nuclear,1680.100799999998,4737.2810999999865,2025-02-01
Other,0.0,33.0152,2025-02-01
Pump_load,0.0,-524.9926999999999,2025-02-01
Retailer,0.0,-13438.889399999993,2025-02-01
Solar PV,148.45579999999973,348.6873999999999,2025-02-01
Wind,956.5058999999999,1140.5123000000008,2025-02-01
CCGT,14.4172,974.8181000000008,2025-03-01
Coal,1.932,47.541799999999995,2025-03-01
Cogen,54.63529999999995,94.0571,2025-03-01
Direct_consumer,0.0,-8.524725000000005,2025-03-01
Generic,0.0,-0.09500000000006366,2025-03-01
Hybrid_RES,52.34709999999999,53.16954999999997,2025-03-01
Hybrid_RES_storage,16.0288,21.1223,2025-03-01
Hydro,1079.3871999999992,5328.2715249999765,2025-03-01
Hydro_RES,3.9902000000000033,69.75815000000003,2025-03-01
Hydro_pump,184.26219999999998,242.036825,2025-03-01
Nuclear,2076.938100000005,4859.241199999997,2025-03-01
Other,0.0,37.84739999999999,2025-03-01
Pump_load,0.0,-1039.7593750000015,2025-03-01
Retailer,0.0,-14481.072699999992,2025-03-01
Solar PV,120.74699999999983,359.0342750000004,2025-03-01
Wind,1456.3582000000017,1933.6080499999998,2025-03-01
CCGT,17.569,1234.9745499999979,2025-04-01
Coal,0.0,117.33582500000001,2025-04-01
Cogen,26.383200000000006,94.44852499999965,2025-04-01
Direct_consumer,0.0,-14.037074999999968,2025-04-01
Generic,0.0,-1.0868500000000112,2025-04-01
Hybrid_RES,29.496900000000007,34.10050000000003,2025-04-01
Hybrid_RES_storage,5.449300000000001,25.40279999999998,2025-04-01
Hydro,1134.4974000000007,5007.848575000005,2025-04-01
Hydro_RES,1.2826999999999964,61.49107499999942,2025-04-01
Hydro_pump,266.65740000000017,328.8387250000003,2025-04-01
Nuclear,1877.1487000000038,3045.8701000000206,2025-04-01
Other,0.0,38.352499999999985,2025-04-01
Pump_load,0.0,-1330.805849999998,2025-04-01
Retailer,0.0,-11159.381099999982,2025-04-01
Solar PV,59.77180000000016,471.5305499999987,2025-04-01
Wind,841.7238999999998,1270.4234000000017,2025-04-01
CCGT,1.6622999999999999,2147.060174999995,2025-05-01
Coal,0.0,55.0163,2025-05-01
Cogen,24.48179999999995,81.87259999999998,2025-05-01
Direct_consumer,0.0,-17.74995,2025-05-01
Generic,0.0,0.6347999999999738,2025-05-01
Hybrid_RES,17.402800000000003,30.488824999999967,2025-05-01
Hybrid_RES_storage,2.695100000000002,25.24780000000001,2025-05-01
Hydro,1237.6778000000008,4468.2952000000405,2025-05-01
Hydro_RES,2.3868999999999967,86.62332499999994,2025-05-01
Hydro_pump,276.29640000000035,405.19690000000185,2025-05-01
Nuclear,2089.4711999999995,3070.201049999983,2025-05-01
Other,0.0,52.922975000000015,2025-05-01
Pump_load,0.0,-1308.997574999997,2025-05-01
Retailer,0.0,-11242.450249999987,2025-05-01
Solar PV,25.793600000000012,591.8140749999958,2025-05-01
Wind,457.9804000000004,927.5428499999989,2025-05-01
CCGT,374.9331000000001,2616.854775,2025-06-01
Coal,0.0,35.303324999999994,2025-06-01
Cogen,22.113200000000024,123.94787499999936,2025-06-01
Direct_consumer,0.0,-18.05912499999998,2025-06-01
Generic,0.0,-0.9476249999999949,2025-06-01
Hybrid_RES,32.54550000000001,49.39107500000001,2025-06-01
Hybrid_RES_storage,1.4349999999999996,16.893075000000024,2025-06-01
Hydro,1192.6361999999988,2869.7595499999898,2025-06-01
Hydro_RES,1.0239999999999974,76.58250000000054,2025-06-01
Hydro_pump,360.6381,349.63010000000014,2025-06-01
Nuclear,1150.5821000000026,4120.091375000032,2025-06-01
Other,0.0,56.20649999999997,2025-06-01
Pump_load,0.0,-1155.0039000000004,2025-06-01
Retailer,0.0,-12321.001950000016,2025-06-01
Solar PV,77.39160000000014,601.3467499999977,2025-06-01
Wind,330.96259999999984,899.3762999999976,2025-06-01
CCGT,577.0463000000001,2330.1240750000056,2025-07-01
Coal,0.0,5.471925000000001,2025-07-01
Cogen,22.68709999999998,107.4596499999991,2025-07-01
Direct_consumer,0.0,-16.652025000000005,2025-07-01
Generic,0.0,-1.208000000000019,2025-07-01
Hybrid_RES,48.83419999999998,69.13405000000004,2025-07-01
Hybrid_RES_storage,2.852300000000001,18.03635000000002,2025-07-01
Hydro,613.7059000000006,2252.5971500000087,2025-07-01
Hydro_RES,1.8550000000000022,49.93544999999944,2025-07-01
Hydro_pump,387.1708999999999,384.67704999999955,2025-07-01
Nuclear,1819.555200000002,4877.657449999966,2025-07-01
Other,0.0,52.55879999999999,2025-07-01
Pump_load,0.0,-1080.5477000000008,2025-07-01
Retailer,0.0,-13284.330700000051,2025-07-01
Solar PV,125.45489999999988,562.2812749999999,2025-07-01
Wind,587.1511,1378.0153000000032,2025-07-01
CCGT,360.1828,2349.296449999996,2025-08-01
Cogen,30.960699999999896,112.08587499999867,2025-08-01
Direct_consumer,0.0,-17.09939999999999,2025-08-01
Generic,0.0,-6.235449999999999,2025-08-01
Hybrid_RES,40.98490000000002,59.104799999999955,2025-08-01
Hybrid_RES_storage,2.2997,23.441250000000036,2025-08-01
Hydro,424.2756999999996,2364.23897499999,2025-08-01
Hydro_RES,3.163200000000002,37.03585,2025-08-01
Hydro_pump,406.24429999999995,418.7715750000001,2025-08-01
Nuclear,2243.117199999998,5076.356250000013,2025-08-01
Other,0.0,50.86089999999998,2025-08-01
Pump_load,0.0,-1112.9757750000006,2025-08-01
Retailer,0.0,-12682.509450000069,2025-08-01
Solar PV,136.02039999999988,587.7419749999989,2025-08-01
Wind,449.4353000000003,1118.8971000000004,2025-08-01
CCGT,252.72639999999993,2190.632275000001,2025-09-01
Coal,6.27,3.02625,2025-09-01
Cogen,27.585399999999957,118.45874999999884,2025-09-01
Direct_consumer,0.0,-16.624174999999994,2025-09-01
Generic,0.0,0.2709000000000001,2025-09-01
Hybrid_RES,34.6196,54.700675000000004,2025-09-01
Hybrid_RES_storage,2.0117000000000007,24.62772499999997,2025-09-01
Hydro,302.29879999999906,2490.518349999993,2025-09-01
Hydro_RES,3.019500000000004,39.06157499999979,2025-09-01
Hydro_pump,266.20849999999996,297.23115000000007,2025-09-01
Nuclear,2437.303200000002,4520.24755000001,2025-09-01
Other,0.0,34.01314999999998,2025-09-01
Pump_load,0.0,-1087.4942250000001,2025-09-01
Retailer,0.0,-11849.825249999996,2025-09-01
Solar PV,95.76660000000005,520.8834999999998,2025-09-01
Storage_buy,0.0,-0.046150000000000004,2025-09-01
Storage_sell,0.047299999999999995,0.028075000000000003,2025-09-01
Wind,451.5372000000002,1218.6117750000003,2025-09-01
CCGT,1001.402374999996,3102.2497500000113,2025-10-01
Coal,0.0,14.05,2025-10-01
Cogen,32.14352500000016,128.54139999999862,2025-10-01
Direct_consumer,0.0,-17.025249999999993,2025-10-01
Generic,0.0,-1.2405250000000287,2025-10-01
Hybrid_RES,34.022549999999946,50.94214999999998,2025-10-01
Hybrid_RES_storage,2.217399999999998,20.744474999999966,2025-10-01
Hydro,465.2814499999998,2483.413900000001,2025-10-01
Hydro_RES,4.385800000000005,53.98472499999961,2025-10-01
Hydro_pump,338.49272499999967,328.9113749999999,2025-10-01
Nuclear,1854.0557250000024,3701.113399999994,2025-10-01
Other,0.0,16.00107500000001,2025-10-01
Pump_load,0.0,-1072.1532000000004,2025-10-01
Retailer,0.0,-13230.789574999942,2025-10-01
Solar PV,89.79215000000026,422.25484999999986,2025-10-01
Storage_buy,0.0,-0.015475000000000001,2025-10-01
Storage_sell,0.034800000000000005,0.008924999999999999,2025-10-01
Wind,544.0599000000003,1422.3727750000005,2025-10-01
CCGT,130.10235,2520.2521749999987,2025-11-01
Coal,0.0,4.801474999999999,2025-11-01
