tech,unit,firm,reform,hour_class,n_cell,level_shift,tilt_std,beta_PC1,beta_PC2,beta_PC3
CCGT,TAPOWER,IB,MTU15-DA,Critical,3907,3.6696750629623964,0.620228245951855,-36.530471005252735,-5.455122758558184,-1.4572896254419252
CCGT,TAPOWER,IB,MTU15-DA,Flat,215,5.665663616934032,0.8844293038194699,-56.39850205114272,-8.130251054222844,-2.2832477892806473
CCGT,TAPOWER,IB,MTU15-DA,Midday,553,-17.78075580732313,0.4547695999899983,176.9045221546931,-4.019612379963443,-2.500343810004986
Hydro,ACAVADO,HC,ISP15,Critical,2747,-3.159423860564671,1.8135338588004426,-32.79671752619536,9.92605973492372,7.063369508459056
Hydro,ACAVADO,HC,ISP15,Flat,760,9.01809653464567,1.8581936852354501,89.61219439359752,15.410507741544148,3.010176006827007
Hydro,ACAVADO,HC,ISP15,Midday,773,-7.082211921244921,2.6588695101950592,-71.34256685487699,16.31074493797256,14.085664485559512
Hydro,ACAVADO,HC,MTU15-IDA,Critical,1423,2.982681594096853,1.9344460042203084,27.073850685740595,20.762285649857798,-8.056824491914586
Hydro,ACAVADO,HC,MTU15-IDA,Flat,375,-0.24424114790883902,2.7522118235899056,-3.982204374294036,6.460737714338726,-17.809785205339885
Hydro,ACAVADO,HC,MTU15-IDA,Midday,426,0.2184065170428853,4.7353190338460625,6.704930309211065,-38.2524086332159,-12.294897287913379
Hydro,ACAVADO,HC,MTU15-DA,Critical,5886,-3.426362008895516,7.140089829789391,-43.06897983681131,64.1679365852877,1.7714778101037196
Hydro,ACAVADO,HC,MTU15-DA,Flat,705,-5.340374000065031,9.330145440967243,-64.71837290618153,83.56801608179161,1.068600523191903
Hydro,ACAVADO,HC,MTU15-DA,Midday,1344,-12.91155790513091,8.74369082425488,-137.14206617348387,70.70220006855213,15.641186555470295
Hydro,ADOURO,HC,ISP15,Critical,2729,-0.7356504313164153,3.8543457183418703,5.175986107178957,-24.268525593244508,-26.713507510403254
Hydro,ADOURO,HC,ISP15,Flat,749,6.3676319776637165,6.910401930818771,-59.829904540500394,-69.92326496966048,-5.878428051251547
Hydro,ADOURO,HC,ISP15,Midday,779,2.973401650272524,6.251807756126072,-37.33471379285441,-13.503944573422585,-51.54699858055232
Hydro,ADOURO,HC,MTU15-IDA,Critical,1500,-4.346809988769464,6.045741762640651,44.112183965007354,-53.937412394861006,-24.647203593755332
Hydro,ADOURO,HC,MTU15-IDA,Flat,406,-8.438570637118707,5.600658351305374,85.69415553198553,-48.90305210722135,-19.84486089065202
Hydro,ADOURO,HC,MTU15-IDA,Midday,497,4.174450933802656,5.204083184689847,-42.502182034304276,-46.224192098222176,-15.35782267260093
Hydro,ADOURO,HC,MTU15-DA,Critical,6764,7.153130928449717,8.334724771101435,-76.98786480476,72.994350947383,8.827512127258675
Hydro,ADOURO,HC,MTU15-DA,Flat,770,6.452345234033611,11.306958132987456,-71.29283930572804,102.65657349235673,14.616064057215624
Hydro,ADOURO,HC,MTU15-DA,Midday,2617,-2.5825771717373684,10.44822023564215,22.42419467372935,98.52824531648942,20.53977624600807
Hydro,ALIMA,HC,ISP15,Critical,2421,-11.554384929324323,4.4068733187253155,-115.22855527663006,21.634726696433937,29.68786069055091
Hydro,ALIMA,HC,ISP15,Flat,690,0.7672263398145378,5.347948597533371,7.746410765788607,16.99148021049381,37.486390014727334
Hydro,ALIMA,HC,ISP15,Midday,502,4.248709162629859,2.8246492376682375,40.33781078032058,-24.987558996487422,-11.69776477428952
Hydro,ALIMA,HC,MTU15-IDA,Critical,1452,5.084780802877649,1.824140161803535,50.23321132454775,-12.842813084638957,-7.839007202680473
Hydro,ALIMA,HC,MTU15-IDA,Flat,395,-1.5914269119687898,2.754182307911607,-11.733500717881542,27.766547149148064,-3.2553863863532353
Hydro,ALIMA,HC,MTU15-IDA,Midday,402,-2.4044826691050516,5.391918609767067,-16.03172220966905,54.58209916743062,-9.54011414343042
Hydro,ALIMA,HC,MTU15-DA,Critical,6253,-0.8556167028963962,5.247334792797043,-9.165174208212932,18.76816954526701,43.91283475285361
Hydro,ALIMA,HC,MTU15-DA,Flat,751,-10.28812703864774,7.47773859818898,-104.96192231684286,21.522294995341223,62.77329758251711
Hydro,ALIMA,HC,MTU15-DA,Midday,1682,-9.122316427775937,4.406146284224798,-90.37489503948146,28.53541846667816,31.998118950781677
Hydro,DOUSUP,HC,ISP15,Critical,2136,-2.6949360323858382,1.313956455788042,-26.931949261160963,2.7730687449581075,3.774611221042769
Hydro,DOUSUP,HC,ISP15,Flat,517,2.931800231544685,1.043389061594465,28.991973848912203,4.330294765471047,8.30758220994428
Hydro,DOUSUP,HC,ISP15,Midday,352,-19.07596882364446,3.7042823239857783,-189.32996484346248,38.41581872087655,-6.396240776738423
Hydro,DOUSUP,HC,MTU15-IDA,Critical,1182,2.2065180680426764,2.698889820372795,21.132107468371977,-14.861838720481591,20.814672856864263
Hydro,DOUSUP,HC,MTU15-IDA,Flat,308,-2.733920536450925,4.254078713035214,-28.32230611131759,-28.81139176997328,24.469887257836582
Hydro,DOUSUP,HC,MTU15-IDA,Midday,352,-2.656624362161923,2.8918099439061566,-27.10285050978974,-3.4186271910044295,18.331773341003405
Hydro,DOUSUP,HC,MTU15-DA,Critical,5107,4.347234510630937,3.486657674655806,44.01909620634506,-15.779237398852938,-27.35652301562277
Hydro,DOUSUP,HC,MTU15-DA,Flat,678,-5.010589461124273,3.3578896702215038,-48.83338436298015,9.085481614474919,-28.486314551898328
Hydro,DOUSUP,HC,MTU15-DA,Midday,722,1.2382355277907025,2.44273349703161,12.85733422318987,20.614996817200144,-9.63388864710348
Hydro,DUER,IB,ISP15,Critical,2343,-5.497440713237604,3.351521689119697,54.97365195889246,-32.20119152238011,-6.384823349813865
Hydro,DUER,IB,ISP15,Flat,650,11.735714084522323,3.3477511095780206,-116.36312274790495,-34.66453872020096,0.22735879802535713
Hydro,DUER,IB,ISP15,Midday,569,-5.684929358952314,4.399623865489867,57.224620749216854,-42.85480033501013,0.9941037379491926
Hydro,DUER,IB,MTU15-IDA,Critical,1188,2.5809654652459937,1.032719673169317,-25.408569285702306,-0.2688540072572129,10.278557977831342
Hydro,DUER,IB,MTU15-IDA,Flat,332,-8.677417877535442,2.685606890076425,86.46000431444565,22.04030175778021,10.950069013683082
Hydro,DUER,IB,MTU15-IDA,Midday,262,14.874174411459693,6.440681316776016,-149.2438995745081,59.428302514672595,-9.071122264621383
Hydro,DUER,IB,MTU15-DA,Critical,5534,4.5467923079185795,4.035860464037327,-45.97695859824492,25.5330771983247,-19.21218196229128
Hydro,DUER,IB,MTU15-DA,Flat,622,-4.104704071185379,3.7021120770484583,40.50664194644059,-25.514940645030375,-26.287798955350954
Hydro,DUER,IB,MTU15-DA,Midday,1160,-10.846959813029674,3.8649387919387674,108.19149930613214,-35.99024775974313,-10.482067279658427
Hydro,GDLQ,GE,MTU15-DA,Critical,748,-11.447200061776234,1.8736580566402785,114.36036285613316,14.73522139735502,4.1951546535634705
Hydro,GDLQ,GE,MTU15-DA,Midday,710,-12.679462728726055,1.8908942199151468,126.62065892785819,14.494483415682394,4.594547776912246
Hydro,GUADIA,HC,ISP15,Critical,1694,-1.5737424757560006,6.009996449966761,13.180725018446967,-54.864467720780176,-5.331929496435092
Hydro,GUADIA,HC,ISP15,Flat,430,11.019338157318776,5.93034418244439,-112.03444260576276,-48.96834024397731,-5.50878934634236
Hydro,GUADIA,HC,ISP15,Midday,257,7.576274490230382,11.761544736756251,-80.4973127165263,-106.3836093033259,30.723935740211186
Hydro,GUADIA,HC,MTU15-IDA,Critical,1207,-6.924098925650061,2.828876690821978,67.43477626940047,-29.331550303626095,-2.6578556480632782
Hydro,GUADIA,HC,MTU15-IDA,Flat,303,-9.244446263734673,2.973044837393706,90.34462501037893,-32.324742209254765,3.2736910272663375
