regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
ISP15-win (Dec24-Mar25),Critical,Biomass,0.011034361000154482,0.012259859992398887,0.5076142131979695,3
ISP15-win (Dec24-Mar25),Critical,CCGT,16.971582842304272,17.11525494378854,12.521150592216582,74
ISP15-win (Dec24-Mar25),Critical,Coal,0.155707094113291,0.20719163387154124,0.5076142131979695,3
ISP15-win (Dec24-Mar25),Critical,Cogen,0.08999134415681545,0.06203489156153837,1.5228426395939088,9
ISP15-win (Dec24-Mar25),Critical,Hybrid_RES,0.24018125777002922,0.28173158262532644,1.5228426395939088,9
ISP15-win (Dec24-Mar25),Critical,Hydro,19.368859071593388,19.904863486458986,21.82741116751269,129
ISP15-win (Dec24-Mar25),Critical,Hydro_RES,0.4229838383392552,0.31630438780389125,4.060913705583756,24
ISP15-win (Dec24-Mar25),Critical,Hydro_pump,16.8370862421135,17.815292949354518,19.120135363790187,113
ISP15-win (Dec24-Mar25),Critical,Import,0.49041604445131026,0.37122856056983833,0.338409475465313,2
ISP15-win (Dec24-Mar25),Critical,Nuclear,4.141563495391316,3.3246288327387297,0.676818950930626,4
ISP15-win (Dec24-Mar25),Critical,Solar PV,1.4029576991640862,1.180379320068165,14.382402707275805,85
ISP15-win (Dec24-Mar25),Critical,Solar Thermal,0.012260401111282758,0.014466634791030688,0.1692047377326565,1
ISP15-win (Dec24-Mar25),Critical,Wind,38.43929998013815,37.74516655019799,17.59729272419628,104
ISP15-win (Dec24-Mar25),Critical,_unmapped_,1.4160763283531586,1.6491963661774978,5.245346869712352,31
ISP15-win (Dec24-Mar25),Flat,CCGT,10.809721570640075,6.834026914554399,14.184397163120568,20
ISP15-win (Dec24-Mar25),Flat,Cogen,0.06202712191005754,0.01756471923471869,2.8368794326241136,4
ISP15-win (Dec24-Mar25),Flat,Hybrid_RES,0.21977122382345254,0.19996757282602826,2.127659574468085,3
ISP15-win (Dec24-Mar25),Flat,Hydro,10.566965677276349,12.672944927849542,19.858156028368796,28
ISP15-win (Dec24-Mar25),Flat,Hydro_RES,0.025503537435099793,0.040533967464735456,1.4184397163120568,2
ISP15-win (Dec24-Mar25),Flat,Hydro_pump,2.6139551578543028,2.2948981246284395,4.964539007092199,7
ISP15-win (Dec24-Mar25),Flat,Import,3.0541273224749137,2.7995460195643953,2.127659574468085,3
ISP15-win (Dec24-Mar25),Flat,Nuclear,6.328655585746986,7.560936064421986,1.4184397163120568,2
ISP15-win (Dec24-Mar25),Flat,Solar PV,0.025818395921952876,0.0027022644976490303,1.4184397163120568,2
ISP15-win (Dec24-Mar25),Flat,Wind,64.69145442580833,65.46843755066747,28.368794326241137,40
ISP15-win (Dec24-Mar25),Flat,_unmapped_,1.6019999811084908,2.1084418742906554,21.27659574468085,30
ISP15-win (Dec24-Mar25),Midday,Biomass,0.4014154934994999,0.5165867392184041,3.129346314325452,45
ISP15-win (Dec24-Mar25),Midday,CCGT,4.74898069082237,3.248182619152166,1.5994436717663423,23
ISP15-win (Dec24-Mar25),Midday,Coal,0.08154473421032386,0.040752953871674075,0.06954102920723226,1
ISP15-win (Dec24-Mar25),Midday,Cogen,1.489037618278329,1.9492539626507783,8.414464534075105,121
ISP15-win (Dec24-Mar25),Midday,Hybrid_RES,1.4141087775982764,1.6998573646614488,2.433936022253129,35
ISP15-win (Dec24-Mar25),Midday,Hydro,6.437418262943302,5.178782060664501,2.5730180806675937,37
ISP15-win (Dec24-Mar25),Midday,Hydro_RES,1.1347026694361102,1.5009714700623633,7.7885952712100135,112
ISP15-win (Dec24-Mar25),Midday,Hydro_pump,1.75136548965305,2.0505623620641655,0.764951321279555,11
ISP15-win (Dec24-Mar25),Midday,Import,0.030771597815216552,0.036448064378187414,0.06954102920723226,1
ISP15-win (Dec24-Mar25),Midday,Nuclear,1.3334871913224093,1.5529171366171028,0.06954102920723226,1
ISP15-win (Dec24-Mar25),Midday,Solar PV,22.957765981998616,25.935237242459973,39.15159944367176,563
ISP15-win (Dec24-Mar25),Midday,Solar Thermal,0.0723132548657589,0.08638478250263315,0.2086230876216968,3
ISP15-win (Dec24-Mar25),Midday,Wind,54.843603354104154,53.14156485603014,25.799721835883172,371
ISP15-win (Dec24-Mar25),Midday,_unmapped_,3.3034848834525734,3.06249838566644,7.927677329624479,114
ISP15-win (Dec24-Mar25),Dropped,Biomass,0.09741273048829313,0.15324857026977734,1.2949640287769784,9
ISP15-win (Dec24-Mar25),Dropped,CCGT,19.12536608586822,17.23733385595723,7.76978417266187,54
ISP15-win (Dec24-Mar25),Dropped,Cogen,0.3450428269237438,0.5302454971323735,4.028776978417266,28
ISP15-win (Dec24-Mar25),Dropped,Hybrid_RES,0.5835306282648239,0.725140659322712,2.302158273381295,16
ISP15-win (Dec24-Mar25),Dropped,Hydro,12.84256022092829,10.389871984364833,9.20863309352518,64
ISP15-win (Dec24-Mar25),Dropped,Hydro_RES,0.4262201023306547,0.6573628724716026,4.60431654676259,32
ISP15-win (Dec24-Mar25),Dropped,Hydro_pump,7.055487426191729,6.4699205448354125,5.179856115107913,36
ISP15-win (Dec24-Mar25),Dropped,Import,0.5674527989609309,0.10180278025026061,0.14388489208633093,1
ISP15-win (Dec24-Mar25),Dropped,Nuclear,1.3661426134984411,0.6878492665572422,0.14388489208633093,1
ISP15-win (Dec24-Mar25),Dropped,Solar PV,7.172445753088677,9.917605075984614,30.35971223021583,211
ISP15-win (Dec24-Mar25),Dropped,Solar Thermal,0.013398191086577534,0.021231595881070396,0.14388489208633093,1
ISP15-win (Dec24-Mar25),Dropped,Wind,47.25936060679619,49.748351148819864,22.73381294964029,158
ISP15-win (Dec24-Mar25),Dropped,_unmapped_,3.1455800155734264,3.360036148152988,12.086330935251798,84
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Biomass,0.9867403411313826,0.7303356582231387,3.268384663733501,156
DA60/ID15 pre-blk (Mar19-Apr27),Critical,CCGT,0.7636097892909416,0.31195181181275183,0.06285355122564425,3
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Cogen,2.5424132592562274,2.1957025056075468,10.161324114812487,485
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hybrid_RES,1.0563973374653308,1.0436118505569019,1.2361198407710037,59
