Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
BIRSPRA;BIRSPRA;BIRSPRA;0,6;18W000000000IO28;Biogás;Venta;SZR;RSPRA;Generación
BLAGAR;BLAGARES;UP BIOGAS EDAR LAGARES;1,6;18W000000000L16K;Biogás;Venta;SZR;IGNIS;Generación
BLANC;BLANC;BLANC;6,0;18WBLANC-12345-Z;Solar fotovoltaica;Venta;SZR;GNRA;Generación
BNPRC01;BNPRC01;BNPRC01;0,1;18W000000000GHNW;Comercializadores mercado libre;Compra;SZR;BNPRU;Comercializadores
BNPRV01;BONPREU V;BONPREU V;1,8;18W000000000Q3H9;Solar fotovoltaica;Venta;SZR;BNPRU;Generación
BOAEC01;UP BOAEN;UP BOAENERGTICA;0,1;18W000000000PYRB;Comercializadores mercado libre;Compra;SZR;BOAEN;Comercializadores
BOLI;BOLI;BOLINCHES;0,4;18WBOLI-123456-4;Hidráulica UGH;Venta;SZR;BARER;Generación
BPC01;BPGAS_COM;BP GAS EUROPE COMERCIALIZADORA;0,1;18WBPC01-1234-2A;Comercializadores mercado libre;Compra;SZR;BP;Comercializadores
BREFEN;EOL3MW;EOL MAYOR 1 MW;2,9;18W000000000UJBV;Eólica terrestre;Venta;SZR;FEN;Generación
BREIC01;UP IBERICA;IBERICA IMPULSA SL;1,0;18W000000000KNBM;Comercializadores mercado libre;Compra;SZR;IBERB;Comercializadores
BRENB;UP BREÑA B;UP BOMBEO BREÑA 2;50,0;18W000000000M2V0;Consumo bombeo;Compra;SZR;IGNIS;Consumo bombeo
BRR1;BARRIOS;C.T. LOS BARRIOS;570,0;18WBRR1-12345-0H;Hulla sub-bituminosa;Venta;SZR;VIEPR;Generación
BRR1X;AUX BRR1;CONSUMOS AUX CT LOS BARRIOS;34,1;18W000000000BKEO;Consumo de Servicios Auxiliares;Compra;SZR;VIEPR;Servicios auxiliares
BRUC;PSBRUC;PS HUELVA 2021 BRUC;40,9;18W000000000P3XI;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
BSGEC01;BSGEA;BSGEA;1,0;18W0000000008G7P;Comercializadores mercado libre;Compra;SZR;BSGEA;Comercializadores
BSOUP01;BSOUPTAL01;UP BASSOLS SOLAR ORION TALAVERA;8,2;18W000000000SV97;Solar fotovoltaica;Venta;SZR;BECO;Generación
BTN;BTN;BTN;0,1;18WBTN-1234567-O;Hidráulica UGH;Venta;SZR;VIEG;Generación
BTRR1;BTRR1;BTRR1;41,2;18W000000000RVD3;Solar fotovoltaica;Venta;SZR;GNRA;Generación
BTRR2;BTRR2;BTRR2;41,2;18W000000000RVB7;Solar fotovoltaica;Venta;SZR;GNRA;Generación
BTRR3;BTRR3;BTRR3;41,2;18W000000000RVGY;Solar fotovoltaica;Venta;SZR;GNRA;Generación
BYDETIC;BYDETIC;DETIC BIOGS;1,1;18W000000000582Y;Biogás;Venta;SZR;DETIC;Generación
BYENC01;BYENC01;BY ENERGYC PENINSULA;0,1;18W000000000HQM3;Comercializadores mercado libre;Compra;SZR;BYENE;Comercializadores
CADLC01;UC CANDELA;UNIDAD COMPRA CANDELA;0,0;18W000000000F256;Comercializadores mercado libre;Compra;SZR;CANDL;Comercializadores
CALEC01;CALEN;CALE NUEVO;2,3;18W000000000EY7L;Consumos directos en mercado;Compra;SZR;CALEA;Consum. directos a mercado
CAMCC01;CAMPO_UP;CAMPO COMPRAS;0,4;18W00000000053M9;Comercializadores mercado libre;Compra;SZR;CAMCO;Comercializadores
CAMG20X;CAMG20X;CAMG20X;7,0;18W0000000004EMH;Consumo de Servicios Auxiliares;Compra;SZR;DETIC;Servicios auxiliares
CAMGI10;CAMPGIB1;C.C. CAMPO GIBRALTAR 1;392,6;18WCAMGI10-12-07;Ciclo Combinado;Venta;NTG ;GNCC;Generación
CAMGI20;CAMPGIB2;C.C. CAMPO GIBRALTAR 2;387,9;18WCAMGI20--1-0D;Ciclo Combinado;Venta;CEP ;SEDAE;Generación
CANTI44;CANTI44;CANTILLANA44;5,0;18W000000000RB2B;Solar fotovoltaica;Venta;SZR;ADXRE;Generación
CANXC01;CANALIZACI;MOLECOR CANALIZACIONES;4,7;18W000000000POA1;Consumos directos en mercado;Compra;SZR;MOLEC;Consum. directos a mercado
CAPTC01;CAPTURC01;CAPTURC01;0,1;18W000000000QT9L;Comercializadores mercado libre;Compra;SZR;CAPTA;Comercializadores
CARRA;CARRA;SIC12 CARRA;3,0;18W000000000TVWV;Solar fotovoltaica;Venta;SZR;NETRA;Generación
CASAC01;CASAT;CASAT;1,2;18W0000000001MN3;Consumos directos en mercado;Compra;SZR;CASAT;Consum. directos a mercado
CASAIII;CASA III;CASAFUERTE III;30,0;18W000000000U6ZM;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
CASAIV;CASA IV;CASAFUERTE IV;30,0;18W000000000U71D;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
CASAV;CASA V;CASAFUERTE V;8,0;18W000000000U739;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
CASMON;CASMON;CASMON;2,6;18W000000000R0ST;Solar fotovoltaica;Venta;SZR;GNRA;Generación
CATGC01;CATGAS;CATGAS ENERGIA SA;0,5;18WCATGC01-123-C;Comercializadores mercado libre;Compra;SZR;CATGA;Comercializadores
CATRAL1;CATRAL1UP;CATRAL 01 UP;1,8;18W000000000SLBX;Solar fotovoltaica;Venta;SZR;TRISO;Generación
CATRAL2;CATRAL 2;UP CATRAL 2;0,5;18W000000000T12X;Solar fotovoltaica;Venta;SZR;TRISO;Generación
CATRC01;CATRC01;ELÉCTRICA CATRALENSE, SLU;4,0;18WCATRC01-123-D;Comercializadores mercado libre;Compra;SZR;CATRA;Comercializadores
CCASC01;CCASC01;CCASC01 UP;1,0;18W000000000MANT;Comercializadores mercado libre;Compra;SZR;COMER;Comercializadores
CCATC01;CCATC01;COOP. ELÉCT. CATRALENSE UP;6,0;18WCCATC01-123-U;Comercializadores mercado libre;Compra;SZR;CCATR;Comercializadores
CD02R01;CD02R01;CD02R01;3,0;18W000000000ORWQ;Consumos directos en mercado;Compra;SZR;DETIC;Consum. directos a mercado
CD03R01;CD03R01;CD03R01;7,4;18W000000000S47I;Consumos directos en mercado;Compra;SZR;DETIC;Consum. directos a mercado
CD04R01;CD04R01;CD04R01;55,0;18W000000000QOSZ;Consumos directos en mercado;Compra;SZR;DETIC;Consum. directos a mercado
CD05R01;CD05R01;CD05R01;2.600,0;18W000000000S48G;Consumos directos en mercado;Compra;SZR;DETIC;Consum. directos a mercado
CD06R01;CD06R01;CD06R01;2.524,0;18W000000000TWYO;Consumos directos en mercado;Compra;SZR;DETIC;Consum. directos a mercado
CEBAC01;CEBA;COOPERATIVA ELECTRICA ALBATERENSE, COOP.V.;6,3;18WCEBAC01-123-0;Comercializadores mercado libre;Compra;SZR;CEA;Comercializadores
CECAC01;CASTELLAR;COOPERTIVA ELECTRICA DE CASTELLAR, S.C.V.;3,6;18WCECAC01-123-Q;Comercializadores mercado libre;Compra;SZR;CECA;Comercializadores
CEDC01;CEDSL;COMERCIALIZADORA DE ENERGA DIRECTA;0,1;18WCEDC01-1234-B;Comercializadores mercado libre;Compra;SZR;CEDSL;Comercializadores
CEEEC01;CEEEC01;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L;0,8;18WCEEEC01-123-1;Comercializadores mercado libre;Compra;SZR;CEEE;Comercializadores
CEESC01;CEESC01;CENTRICA ENERGIAS ESPECIALES COMPRA;1,9;18WCEESC01-123-9;Comercializadores mercado libre;Compra;SZR;CENES;Comercializadores
CEGC01;CEG CO;CENTRICA GENERACION COMERCIALIZADORA;0,0;18WCEGC01-123-2O;Comercializadores mercado libre;Compra;SZR;CEG;Comercializadores
CELC01;CELC01;CELLTECH S.L.U;7,0;18WCELC01-1234-Y;Consumos directos en mercado;Compra;SZR;CELL;Consum. directos a mercado
CELSC01;CELSC01;PORTAFOLIO GRUPO CELSA;7.021,4;18W00000000050U2;Consumos directos en mercado;Compra;SZR;CELSA;Consum. directos a mercado
CELSC02;CFERIMSA;FERIMETSABADELL;0,4;18W00000000079IS;Consumos directos en mercado;Compra;SZR;CELSA;Consum. directos a mercado
CEMEC01;CEMENTO PE;CEMENTO PENINSULA;5,0;18W000000000SJQ9;Comercializadores mercado libre;Compra;SZR;CEMEK;Comercializadores
CENG01;CENG01;CENTELLES GEN SOLAR 01;0,0;18W000000000Q1AT;Solar fotovoltaica;Venta;SZR;CENTS;Generación
CENTC01;CENT CO;CENTRICA ENERGIA COMERCIALIZADORA;0,0;18WCENTC01-12-2H;Comercializadores mercado libre;Compra;SZR;CENTE;Comercializadores
CENTCP3;CENTCP3;CENTRICA EXPORTACIÓN DE ENERGÍA A FRANCIA (AGENTE EXTERNO);300,0;18WCENTCP3-12-4L;Exportación Francia;Compra;SZR;CENTE;Comercializador internacional
CENTVP3;CENTVP3;CENTRICA IMPORTACIÓN DE ENERGÍA DESDE FRANCIA (AGENTE EXTERNO);300,0;18WCENTVP3-12-30;Importación Francia;Venta;SZR;CENTE;Comercializador internacional
CEPEC01;CEPEN;COMERCIALIZADORA ELECTRICA PENINSULAR;1,0;18W00000000079GW;Comercializadores mercado libre;Compra;SZR;CEPEN;Comercializadores
CERLC01;CERLER;CERLER MERCADO;0,6;18W000000000SVT4;Consumos directos en mercado;Compra;SZR;CERLE;Consum. directos a mercado
CERVUP;CERVANTINA;CERVANTINA;1,0;18W000000000QG5V;Solar fotovoltaica;Venta;SZR;ZRMTT;Generación
CESOC01;CESOC01;UNIDAD DE COMPRA DE COMERCIALIZADORA CESOS;0,1;18W000000000GOBZ;Comercializadores mercado libre;Compra;SZR;CESOS;Comercializadores
CETAC01;CETAL;COMERCIALIZADORA ELECTRICA TALAYUELAS;1,0;18WCETAC01-123-O;Comercializadores mercado libre;Compra;SZR;CETAL;Comercializadores
CGGRABI;CGGRABI;CGGRABI;9,9;18W000000000OIEF;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
CGINDU;CGINDU;CGINDU;0,5;18W000000000OIVI;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
CGLAM;CGLAM;CGLAM;1,0;18W000000000PXPI;Derivados del petróleo ó carbón;Venta;SZR;GNRA;Generación
CGLAV;CGLAV;CGLAV;0,5;18W000000000OJH6;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
CGTOP;CGTOP;CGTOP;0,4;18W000000000OKG5;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
CGYEL;CGYEL;CGYEL;0,4;18W000000000OJG8;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
CHAC01;CHAC01;CHARGE;1,0;18W000000000TBFE;Comercializadores mercado libre;Compra;SZR;CHARG;Comercializadores
CHANC01;CHANDUY;RECICLAJES ECOLGICOS CHANDUY SL;1,0;18W000000000J5V3;Comercializadores mercado libre;Compra;SZR;CHAND;Comercializadores
CHBAO;BARROSA;CH BARROSA;3,5;18W000000000F0KJ;Hidráulica UGH;Venta;SZR;GNRA;Generación
CHCC01;CHCC01;CIDE HCENERGÍA, S.A.;15,0;18WCHCC01-1234-N;Comercializadores mercado libre;Compra;SZR;CHC;Comercializadores
CHCOC01;CHCOC01;UNID. COMPRA CHC COR;200,0;18WCHCOC01-123-Z;Comercializadores mercado libre;Compra;SZR;CHCOR;Comercializadores
CHENC01;CHURCH;CHURCH ENERGY SL;1,0;18W000000000RZ73;Comercializadores mercado libre;Compra;SZR;CHURC;Comercializadores
CHERC01;SOT CHERA;ELECTRICA SOT DE CHERA;1,1;18WCHERC01-123-K;Comercializadores mercado libre;Compra;SZR;CHERA;Comercializadores
CHIPB;CHIPB;CHIPB;99,0;18WCHIPB-12345-8;Consumo bombeo;Compra;SZR;ENDG;Consumo bombeo
CHIPG;CHIPG;CHIPG;88,7;18WCHIPG-12345-0;Turbinación bombeo;Venta;END ;ENDG;Generación
CHISC01;CHISTA_COM;UP_LACHISTABINA_COMPRAS;0,1;18W000000000CW60;Comercializadores mercado libre;Compra;SZR;COMCH;Comercializadores
CHURC;URDICETO 2;CHURDICETO 2;3,5;18W000000000F0GR;Hidráulica UGH;Venta;SZR;GNRA;Generación
CHURC01;CHURC01;CHURC01;5,5;18W000000000N5XK;Consumos directos en mercado;Compra;SZR;CHURR;Consum. directos a mercado
CHURD;URDICETO;URDICETO 1;3,5;18W000000000F0FT;Hidráulica UGH;Venta;SZR;GNRA;Generación
CHVADOM;CHVADO;CH VADO;2,7;18W000000000P2XL;Hidráulica no UGH;Venta;SZR;STIN;Generación
CHVN;CHVN;CHVN;0,2;18WCHVN-123456-Q;Hidráulica UGH;Venta;SZR;WMARK;Generación
CILCOR;CILCOR;REPSOL PETROLEO, S.A.;94,1;18WCILCOR-123-0J;Derivados del petróleo ó carbón;Venta;SZR;REPP;Generación
CIMAC01;CIMA;CIMA ENERGIA;0,1;18W000000000GE61;Comercializadores mercado libre;Compra;SZR;CIMA;Comercializadores
CINCOVI;CINCOVILLA;CINCO VILLAS BIOMASA;2,0;18W000000000SOFG;Biomasa;Venta;SZR;ELEIA;Generación
CJON3X;CCAA CTJ3;CCAA CASTEJON 3;1,5;18W000000000KS5J;Consumo de Servicios Auxiliares;Compra;SZR;NATGA;Servicios auxiliares
CLEAC01;CLEARVIEW;CLEARVIEW ENERGY;0,1;18W000000000M0AB;Comercializadores mercado libre;Compra;SZR;CLEAR;Comercializadores
CLIDC01;CLIDOMUP01;CLIDOM UNIDAD PROGRAMACION 01;0,1;18WCLIDC01-123-V;Comercializadores mercado libre;Compra;SZR;CLIDM;Comercializadores
CLIFV10;FV T10;FV MAYOR 1MW;4,3;18W000000000BR8F;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV21;CLIFV21;CLIFV21;4,2;18W000000000NR2G;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
CLIFV30;CLIFV30;CLIFV30;40,7;18W000000000OL1W;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV31;CLIFV31;CLIFV31;40,7;18W000000000OL3S;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV32;CLIFV32;CLIFV32;40,2;18W000000000OL5O;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV35;CLIFV35;CLIFV35;10,0;18W000000000P1ZK;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV45;CLIFV45;CLIFV45;16,8;18W000000000Q8W1;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV53;CLIFV53;CLIFV53;16,8;18W000000000R82K;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV54;CLIFV54;CLIFV54;22,4;18W000000000R83I;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV55;CLIFV55;CLIFV55;39,0;18W000000000RP8V;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIFV58;CLIFV58;CLIFV58;17,1;18W000000000T1RK;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
CLIPCX1;CLIPCX1;CLIPCX1;9.999,0;18W000000000OCPB;Porfolio;Compra;SZR;CLIDM;Unidades porfolio
CLIPVX1;CLIPVX1;CLIPVX1;9.999,0;18W000000000OCQ9;Porfolio;Venta;SZR;CLIDM;Unidades porfolio
CLIWI11;EOL 1014;EOLICA 1014;41,5;18W000000000JWHO;Eólica terrestre;Venta;SZR;TOTGA;Generación
CMILLAS;CMILLAS;CERAMICA MILLAS E HIJOS;5,1;18WCMILLAS-123-X;Gas Natural Cogeneración;Venta;SZR;LMER;Generación
CNTLC01;CNTLC01;CNTL UP;5,0;18WCNTLC01-123-S;Comercializadores mercado libre;Compra;SZR;CENTS;Comercializadores
COALC01;COALC01;COMERCIALIZADORA SUMINISTRO ESPECIALES ALGINETENSES, S.L.;10,5;18WCOALC01-123-3;Comercializadores mercado libre;Compra;SZR;COALG;Comercializadores
CODOC01;CODOC01;CODOC01;1,0;18W0000000005KY8;Comercializadores mercado libre;Compra;SZR;CODOR;Comercializadores
COELC01;GUADASSAUR;ELECTRICA DE GUADASSUAR, S.C.V.;6,7;18WCOELC01-123-X;Comercializadores mercado libre;Compra;SZR;COELD;Comercializadores
COF1;COFRENTES;C.N. COFRENTES;1.063,9;18WCOF1-12345-0O;Nuclear;Venta;SZR;IGNU;Generación
COG75RQ;COG75RQ;REPSOL QUIMICA, S.A.;75,7;18WCOG75RQ-12-0I;Gas Natural Cogeneración;Venta;SZR;REPSB;Generación
COGAIAD;COGAIAD;COGAIAD;1,0;18W000000000OHXH;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGAJ;COGAJ;COGAJ;2,0;18W000000000NLH4;Gas Natural Cogeneración;Venta;SZR;GNRA;Generación
COGAJ5;COGAJ5;COGAJ5;1,7;18W000000000NNRF;Derivados del petróleo ó carbón;Venta;SZR;GNRA;Generación
COGAMYL;COGAMYL;COGAMYL;13,6;18W000000000OFP2;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGATOM;COGATOM;COGATOM;5,5;18W000000000OFYL;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGAYME;COGAYME;COGAYME;0,9;18W000000000OHGE;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGAZEB;COGAZEB;COGAZEB;18,4;18W000000000OIPU;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBARR;COGBARR;COGBARR;1,0;18W000000000OI14;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBECO;COGBECO;COGBECO;6,9;18W000000000OFUT;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBERN;COGBERN;COGBERN;0,9;18W000000000OHHC;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBOOR;COGBOOR;COGBOOR;2,2;18W000000000P3RU;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBORG;COGBORG;TERMICA CLIDOM UE;4,6;18W000000000RCN3;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBORJ;COGBORJ;COGBORJ;3,0;18W000000000OHTP;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGBRIK;COGBRIK;COGBRIK;1,0;18W000000000OHWJ;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGCDAM;COGCDAM;COGCDAM;9,9;18W000000000OFSX;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGCHOV;COGCHOV;COGCHOV;5,2;18W000000000OG1A;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGCIPR;COGCIPR;COGCIPR;3,4;18W000000000R7QC;Derivados del petróleo ó carbón;Venta;SZR;DETIC;Generación
COGCLIM;COGCLIM;COGCLIM;1,0;18W000000000OI22;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGCORE;COGCORE;COGCORE;3,5;18W000000000R7NI;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGDAMM;COGDAMM;COGDAMM;1,1;18W000000000OIUK;Biomasa;Venta;SZR;DETIC;Generación
COGDERC;COGDERC;COGDERC;0,4;18W000000000OHOZ;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGEC01;COGEC01;ENERGY BY COGEN, S.L.U;1,0;18WCOGEC01-123-7;Comercializadores mercado libre;Compra;SZR;COGEN;Comercializadores
COGESPU;COGESPU;COGESPU;1,0;18W000000000OI4Z;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGESTA;COGESTA;COGESTA;4,3;18W000000000OG9V;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGFBAC;COGFBAC;COGFBAC;5,3;18W000000000OFZJ;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGFOMP;COGFOMP;COGFOMP;4,0;18W000000000OG52;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGFORE;COGFORE;COGFORE;5,3;18W000000000OG0C;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGFRIM;COGFRIM;COGFRIM;9,6;18W000000000QJHZ;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGFUST;COGFUST;COGFUST;0,9;18W000000000OHIA;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGGAIK;COGGAIK;COGGAIK;0,1;18W000000000OIWG;Biomasa;Venta;SZR;DETIC;Generación
COGGESB;COGGESB;COGGESB;1,0;18W000000000OHYF;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGHIJO;COGHIJO;COGHIJO;1,0;18W000000000OIZA;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGINC2;COGINC2;COGINC2;0,9;18W000000000OIK3;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGINCU;COGINCU;COGINCU;1,9;18W000000000OHSR;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGINPE;COGINPE;COGINPE;2,4;18W000000000T48C;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGJUMS;COGJUMS;COGJUMS;1,0;18W000000000OI5X;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGLINA;COGLINA;COGLINA;14,7;18W000000000OFN6;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGLOSR;COGLOSR;COGLOSR;0,5;18W000000000OHJ8;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMARQ;COGMARQ;COGMARQ;0,7;18W000000000OFLA;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMENG;COGMENG;COGMENG;3,6;18W000000000OHPX;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMIGA;COGMIGA;COGMIGA;5,0;18W000000000OG36;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMIMS;COGMIMS;COGMIMS;0,5;18W000000000OHK6;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMOLT;COGMOLT;COGMOLT;6,0;18W000000000OFXN;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGMORA;COGMORA;COGMORA;5,3;18W000000000OG28;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGNOVA;COGNOVA;COGNOVA;5,0;18W000000000R7PE;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGNULE;COGNULE;COGNULE;6,8;18W000000000OFVR;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGOBLA;COGOBLA;COGOBLA;0,4;18W000000000OHN0;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGORUJ;COGORUJ;COGORUJ;10,0;18W000000000OFQ0;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGPACH;COGPACH;COGPACH;0,5;18W000000000OHL4;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGPOR1;COGPOR1;COGPOR1;3,8;18W000000000TP6R;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGPOR2;COGPOR2;COGPOR2;2,5;18W000000000TP7P;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGRENS;COGRENS;COGRENS;3,9;18W000000000R7OG;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGSEFR;COGSEFR;COGSEFR;1,0;18W000000000OI30;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGSMON;COGSMON;COGSMON;14,3;18W000000000OFO4;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGSORI;COGSORI;COGSORI;4,3;18W000000000OG44;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGTABL;COGTABL;COGTABL;7,2;18W000000000OFTV;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGTAN2;COGTAN2;COGTAN2;3,0;18W000000000OG60;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGTANG;COGTANG;COGTANG;6,3;18W000000000OFWP;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGTECN;COGTECN;COGTECN;1,0;18W000000000OHZD;Derivados del petróleo ó carbón;Venta;SZR;DETIC;Generación
COGTRIV;COGTRIV;COGTRIV;2,0;18W000000000OGYI;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGTROV;COGTROV;COGTROV;4,2;18W000000000OJ11;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGUCHE;COGUCHE;COGUCHE;16,8;18W000000000OFM8;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGUNIO;COGUNIO;COGUNIO;1,5;18W000000000OHUN;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGUREN;COGUREN;COGUREN;4,8;18W000000000OG8X;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGUTZ2;COGUTZ2;COGUTZ2;0,9;18W000000000OHFG;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGUTZU;COGUTZU;COGUTZU;3,1;18W000000000OHRT;Gas Natural Cogeneración;Venta;SZR;DETIC;Generación
COGVECO;COGVECO;COGVECO;6,4;18W000000000OIXE;Biomasa;Venta;SZR;DETIC;Generación
COL4;COLON 4;C.T. CRISTOBAL COLON 4;390,9;18WCOL4-12345-02;Ciclo Combinado;Venta;END ;ENDG;Generación
COMPC01;COMPC01;COMPC01;5,0;18W000000000LKFJ;Comercializadores mercado libre;Compra;SZR;COMPA;Comercializadores
COMTC01;COMTC01;COMTC01;1,0;18W000000000S6IR;Comercializadores mercado libre;Compra;SZR;COMEE;Comercializadores
CONEC01;COMPRA;COMPRA;0,1;18WCONEC01-123-4;Comercializadores mercado libre;Compra;SZR;CONEC;Comercializadores
CONEFV0;C2FV;EXCEDENTES FV;1,0;18W000000000MUM8;Solar fotovoltaica;Venta;SZR;CONEC;Generación
CONSC01;CMGREENENE;CONSULTING AND MANAGEMENT GREEN ENERGY;3,0;18W000000000M79T;Comercializadores mercado libre;Compra;SZR;CONSB;Comercializadores
CONTC01;CONTALLUM;CONTALLUM;1,0;18W000000000JBVM;Comercializadores mercado libre;Compra;SZR;CONTA;Comercializadores
COPIC01;URANO V;URANOSCOPIDAE ENERGIA V SL;1,0;18W000000000M26D;Comercializadores mercado libre;Compra;SZR;URANA;Comercializadores
CORPC01;CORPOLUX;CORPOLUX, S.L.;0,5;18WCORPC01-123-Z;Comercializadores mercado libre;Compra;SZR;CORPO;Comercializadores
CR2FEN;FOT 50MW;FOT MAYOR 1MW;48,5;18W000000000RS9K;Solar fotovoltaica;Venta;SZR;FEN;Generación
CR3FEN;FOT 50MW;FOT MAYOR 50 MW;48,5;18W000000000RSAI;Solar fotovoltaica;Venta;SZR;FEN;Generación
CR4FEN;FOT50;FOR MAYOR 1MW;50,0;18W000000000T55F;Solar fotovoltaica;Venta;SZR;FEN;Generación
CRCEC01;CRCES;CRCES;2,7;18W000000000HJY0;Consumos directos en mercado;Compra;SZR;CRCES;Consum. directos a mercado
CREEC01;CREAE;CREAENERGIA ECO SLU;1,0;18W000000000MXXE;Comercializadores mercado libre;Compra;SZR;CREAE;Comercializadores
CREOC01;CRECE PEN;CRECE SOLUCIONES P;1,0;18W000000000L3ZU;Comercializadores mercado libre;Compra;SZR;CRESO;Comercializadores
CRGYC01;CARTO C;CARTO ENERGY SL COMPRA;0,1;18W000000000T7GO;Comercializadores mercado libre;Compra;SZR;CARGY;Comercializadores
CRISOL;CRISOL FV;CRISOL FOTOVOLTAICA;10,0;18W000000000RGLW;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
CSMP;CSAMPEDRO;CSAMPEDRO;4,0;18WCSMP-123456-A;Gas Natural Cogeneración;Venta;SZR;LMER;Generación
CTGN1;ESC CART 1;CARTAGENA GRUPO 1;418,2;18WCTGN1-1234-0C;Ciclo Combinado;Venta;NTG ;GNCC;Generación
