month,firm,bilateral_abs_mwh,auction_sell_mwh,bilateral_TWh,auction_TWh,total_TWh,bilat_share
2019-06-01,GE,1223111.8000000012,838782.3999999992,1.2231118000000012,0.8387823999999993,2.0618942000000002,0.5931981379063974
2019-06-01,GN,603000.0,762300.1000000002,0.603,0.7623001000000003,1.3653001000000002,0.44166114101947246
2019-06-01,HC,0.0,458042.9999999987,0.0,0.4580429999999987,0.4580429999999987,0.0
2019-06-01,IB,2923050.699999987,1582227.500000001,2.9230506999999872,1.582227500000001,4.505278199999989,0.6488058162534768
2019-07-01,GE,1277310.3999999964,1531967.3000000014,1.2773103999999964,1.5319673000000014,2.8092776999999978,0.4546757339083984
2019-07-01,GN,618168.0,1132423.6000000006,0.618168,1.1324236000000005,1.7505916000000006,0.35311948257948905
2019-07-01,HC,0.0,540781.4999999993,0.0,0.5407814999999992,0.5407814999999992,0.0
2019-07-01,IB,3511840.1999999904,1972639.0000000005,3.51184019999999,1.9726390000000005,5.48447919999999,0.640323369263575
2019-08-01,GE,1148835.400000003,1167719.3000000021,1.148835400000003,1.1677193000000021,2.316554700000005,0.4959241411394259
2019-08-01,GN,616608.0,938057.0000000006,0.616608,0.9380570000000006,1.5546650000000006,0.39661792090257375
2019-08-01,HC,0.0,540756.5,0.0,0.5407565,0.5407565,0.0
2019-08-01,IB,3489727.4999999953,1928984.000000003,3.4897274999999954,1.928984000000003,5.418711499999999,0.6440142642766636
2019-09-01,GE,1094633.4999999995,1041266.8000000003,1.0946334999999996,1.0412668000000003,2.1359003,0.5124927881699346
2019-09-01,GN,594048.0,919544.4000000018,0.594048,0.9195444000000018,1.5135924000000018,0.392475543613987
2019-09-01,HC,0.0,561097.5,0.0,0.5610975,0.5610975,0.0
2019-09-01,IB,3557514.599999997,1229108.0999999994,3.5575145999999966,1.2291080999999995,4.786622699999996,0.7432201831993149
2019-10-01,GE,1302637.9000000008,943776.8000000012,1.3026379000000008,0.9437768000000012,2.246414700000002,0.5798741879671636
2019-10-01,GN,75960.0,758450.7000000011,0.07596,0.7584507000000011,0.8344107000000012,0.09103430720627131
2019-10-01,HC,0.0,792529.9000000019,0.0,0.7925299000000019,0.7925299000000019,0.0
2019-10-01,IB,3370930.7999999914,1566447.7000000072,3.3709307999999916,1.5664477000000072,4.937378499999999,0.6827369625399374
2019-11-01,GE,1336249.6999999979,692777.0,1.3362496999999978,0.692777,2.0290266999999975,0.6585668389676683
2019-11-01,GN,239722.3,1077694.1999999972,0.2397223,1.0776941999999972,1.317416499999997,0.18196394230678037
2019-11-01,HC,0.0,587596.1000000006,0.0,0.5875961000000005,0.5875961000000005,0.0
2019-11-01,IB,2309966.5999999996,1463440.2000000034,2.3099665999999996,1.4634402000000035,3.773406800000003,0.6121700422016513
2019-12-01,GE,1244467.6000000022,936452.0,1.2444676000000021,0.936452,2.180919600000002,0.5706159915294452
2019-12-01,GN,459166.3,1179044.1999999979,0.45916629999999997,1.1790441999999979,1.6382104999999978,0.28028528690299603
2019-12-01,HC,0.0,532669.9000000004,0.0,0.5326699000000004,0.5326699000000004,0.0
2019-12-01,IB,3312421.9000000036,1758832.300000003,3.3124219000000035,1.758832300000003,5.0712542000000065,0.6531760723017985
2020-01-01,GE,1475826.2999999952,697019.1999999995,1.4758262999999952,0.6970191999999995,2.172845499999995,0.6792136394419201
2020-01-01,GN,631512.0,1182939.1999999993,0.631512,1.1829391999999992,1.8144511999999993,0.3480457341591773
2020-01-01,HC,0.0,545078.9000000001,0.0,0.5450789000000001,0.5450789000000001,0.0
2020-01-01,IB,4569090.500000002,1382657.2000000053,4.5690905000000015,1.3826572000000052,5.9517477000000065,0.7676888756558005
2020-02-01,GE,1323057.1999999993,471306.7000000029,1.3230571999999992,0.4713067000000029,1.794363900000002,0.7373405138166219
