parent,year_month,hour_class,n_obs,da_mwh_mean,strategic_ida_mwh_mean,rt2_mwh_mean,phf_mwh_mean
GN,2024-01-01,other,8928,7.113821684587814,7.4993391577060935,0.11710349462365591,14.730264336917564
GN,2024-02-01,critical_h18_22,2610,2.775287356321839,6.024674329501916,0.2900383141762452,9.09
GN,2024-02-01,flat_h3_5,1566,0.0,3.8994891443167305,0.0,3.8994891443167305
GN,2024-02-01,other,8352,0.17418582375478928,5.567444923371648,0.15829741379310344,5.89992816091954
GN,2024-03-01,critical_h18_22,2790,7.396415770609319,6.26347670250896,0.41992831541218634,14.079820788530466
GN,2024-03-01,flat_h3_5,1674,0.0,4.04468339307049,0.0,4.04468339307049
GN,2024-03-01,other,8910,0.040291806958473626,4.098294051627385,0.09322109988776656,4.231806958473625
GN,2024-04-01,critical_h18_22,2700,0.0,5.052148148148148,0.20074074074074075,5.252888888888888
GN,2024-04-01,flat_h3_5,1620,0.0,2.512037037037037,0.0,2.512037037037037
GN,2024-04-01,other,8640,0.0,2.231736111111111,0.09362268518518518,2.3253587962962965
GN,2024-05-01,critical_h18_22,2790,0.0,5.9685663082437275,0.285663082437276,6.254229390681004
GN,2024-05-01,flat_h3_5,1674,0.13040621266427718,2.193010752688172,0.0,2.323416965352449
GN,2024-05-01,other,8928,0.0,2.5896393369175628,0.12249103942652328,2.712130376344086
GN,2024-06-01,critical_h18_22,2624,1.7896341463414633,5.989443597560975,0.025914634146341462,7.804992378048781
GN,2024-06-01,flat_h3_5,1578,0.0,6.363117870722434,0.0,6.363117870722434
GN,2024-06-01,other,8394,0.11198475101262807,3.3961639266142485,0.03454848701453419,3.5426971646414107
GN,2024-07-01,critical_h18_22,2790,5.340143369175627,8.425878136200717,0.0,13.766021505376344
GN,2024-07-01,flat_h3_5,1674,10.914814814814816,12.78357228195938,0.0,23.698387096774198
GN,2024-07-01,other,8928,5.044422043010752,4.872289426523298,0.0,9.91671146953405
GN,2024-08-01,critical_h18_22,2790,9.379175627240144,10.036594982078853,0.0,19.415770609318997
GN,2024-08-01,flat_h3_5,1674,18.6805256869773,11.706033452807647,0.0,30.38655913978495
GN,2024-08-01,other,8928,8.252217741935484,4.0172715053763435,0.0,12.269489247311828
GN,2024-09-01,critical_h18_22,2700,12.683814814814816,8.370296296296296,0.0,21.054111111111112
GN,2024-09-01,flat_h3_5,1620,8.005617283950617,4.941543209876543,0.0,12.947160493827159
GN,2024-09-01,other,8640,3.919560185185185,3.655717592592593,0.0,7.575277777777778
GN,2024-10-01,critical_h18_22,2790,11.140035842293907,3.667849462365591,0.0,14.807885304659498
GN,2024-10-01,flat_h3_5,1674,1.0409199522102748,3.3406212664277177,0.0,4.3815412186379925
GN,2024-10-01,other,8928,1.2196908602150538,4.226601702508961,0.0,5.446292562724015
GN,2024-11-01,critical_h18_22,2700,40.818407407407406,3.156111111111111,0.0,43.974518518518515
GN,2024-11-01,flat_h3_5,1620,6.23462962962963,7.0441975308641975,0.0,13.278827160493828
GN,2024-11-01,other,8640,10.09087962962963,8.219050925925927,0.0,18.309930555555557
GN,2024-12-01,critical_h18_22,2790,69.4089247311828,2.899749103942652,0.0,72.30867383512545
GN,2024-12-01,flat_h3_5,1674,16.198506571087215,12.627658303464756,0.0,28.82616487455197
GN,2024-12-01,other,8928,33.20421146953405,8.267876344086023,0.0,41.47208781362008
GN,2025-01-01,critical_h18_22,2790,16.057491039426523,2.772293906810036,0.0,18.829784946236558
GN,2025-01-01,flat_h3_5,1674,1.5137395459976104,4.541995221027479,0.0,6.05573476702509
GN,2025-01-01,other,8928,4.1144041218637994,5.616285842293906,0.0,9.730689964157705
GN,2025-02-01,critical_h18_22,2520,28.164761904761903,2.855,0.0,31.019761904761904
GN,2025-02-01,flat_h3_5,1512,1.1958333333333333,6.913227513227513,0.0,8.109060846560846
GN,2025-02-01,other,8064,3.647767857142857,4.855716765873016,0.0,8.503484623015872
GN,2025-03-01,critical_h18_22,6300,0.18685714285714286,1.9128293650793653,0.0,2.099686507936508
GN,2025-03-01,flat_h3_5,3780,0.0,1.5752645502645504,0.0,1.5752645502645504
GN,2025-03-01,other,19440,0.006532921810699589,1.3734850823045268,0.0,1.3800180041152263
GN,2025-04-01,critical_h18_22,10800,0.7122037037037037,1.2842337962962964,0.0,1.9964375
GN,2025-04-01,flat_h3_5,6480,0.0,0.6953395061728396,0.0,0.6953395061728396
GN,2025-04-01,other,32940,0.022768670309653915,0.6087370977534912,0.0,0.6315057680631451
GN,2025-05-01,critical_h18_22,11160,0.0,1.1538104838709677,0.0,1.1538104838709677
GN,2025-05-01,flat_h3_5,6696,0.0,0.40186305256869775,0.0,0.40186305256869775
GN,2025-05-01,other,34038,0.0,0.3545552030084024,0.0,0.3545552030084024
GN,2025-06-01,critical_h18_22,10800,2.711777777777778,2.778958333333333,0.0,5.4907361111111115
GN,2025-06-01,flat_h3_5,6480,4.89804012345679,2.4346489197530863,0.0,7.332689043209876
GN,2025-06-01,other,32940,2.1842380085003037,1.3475933515482696,0.0,3.5318313600485736
GN,2025-07-01,critical_h18_22,10894,2.726482467413255,2.4323480815127594,0.0,5.158830548926014
GN,2025-07-01,flat_h3_5,6548,11.089554062309102,1.0627405314599878,0.0,12.152294593769088
GN,2025-07-01,other,33059,4.2598868689313045,0.9418063159805197,0.0,5.201693184911824
GN,2025-08-01,critical_h18_22,11160,1.5068548387096774,2.5795833333333333,0.0,4.08643817204301
GN,2025-08-01,flat_h3_5,6696,5.119220430107528,2.068567054958184,0.0,7.187787485065712
GN,2025-08-01,other,34038,2.141001233915036,1.05404033727011,0.0,3.195041571185146
GN,2025-09-01,critical_h18_22,10800,3.2903796296296295,2.255849537037037,0.0,5.5462291666666665
GN,2025-09-01,flat_h3_5,6480,3.553703703703704,1.2790625000000002,0.0,4.832766203703704
GN,2025-09-01,other,32940,1.7419641772920462,0.9750341530054645,0.0,2.7169983302975105
GN,2025-10-01,critical_h18_22,11160,18.971509856630824,1.8551209677419356,0.0,20.82663082437276
GN,2025-10-01,flat_h3_5,6696,13.073431899641577,1.9556302270011947,0.0,15.02906212664277
GN,2025-10-01,other,34038,6.745162759269053,1.2232534226452787,0.0,7.968416181914331
GN,2025-11-01,critical_h18_22,10800,2.2275625,2.433138888888889,0.0,4.660701388888889
GN,2025-11-01,flat_h3_5,6480,0.14381172839506173,0.9593557098765432,0.0,1.1031674382716048
GN,2025-11-01,other,32940,0.20916742562234367,1.145000758955677,0.0,1.3541681845780207
GN,2025-12-01,critical_h18_22,11160,3.785504032258064,1.5046617383512546,0.0,5.290165770609319
GN,2025-12-01,flat_h3_5,6696,0.17802419354838708,1.1336021505376344,0.0,1.3116263440860214
GN,2025-12-01,other,34038,0.8964400082261003,1.8231028556319409,0.0,2.7195428638580412
HC,2024-01-01,critical_h18_22,155,59.83870967741935,4.830967741935484,0.1935483870967742,64.86322580645161
HC,2024-01-01,flat_h3_5,93,41.491397849462366,31.646236559139783,0.0,73.13763440860215
HC,2024-01-01,other,496,56.32560483870968,32.20483870967742,0.2620967741935484,88.79254032258065
HC,2024-02-01,critical_h18_22,145,0.0,4.241379310344827,0.6206896551724138,4.862068965517241
HC,2024-02-01,flat_h3_5,87,0.0,13.77816091954023,0.0,13.77816091954023
HC,2024-02-01,other,464,0.9698275862068966,17.70603448275862,0.8405172413793104,19.516379310344828
HC,2024-03-01,critical_h18_22,155,0.0,21.063870967741938,0.3870967741935484,21.450967741935486
HC,2024-03-01,flat_h3_5,93,0.0,8.946236559139784,0.0,8.946236559139784
